"[ 먼저 요약해서 말씀드리자면요기저귀 겉면을 둘러싼 에어통기홀과등 허리 쪽 허리 밴드의 블루 퀵드라이허리 밴드로 습기 없이], 부정 텍스트 확률 : 63.62%"
"[요즘 날씨가 많이 추워져서 기저귀에 소변을 싸게 되면 아기들은 민감해서 더 추위를 느끼는것 같아요특히 외출했을때는 정말 더 신경이 쓰이는것 같아요저희 아기도 집에 있는데도 갑자기 딸꾹질을 할때가 종종 있어요아기가 갑자기 딸꾹질을 하면 난감하더라고요울릴수도 없고 매번 힘든것 같아요어른들이 아기가 갑자기 딸꾹질을 하면 기저귀 확인해 보라고 하더라고요아기들은 소변이 차가워져서 민감하게 느껴지는것 같아요기저귀 갈아주면 덜 하는것 같더라고요외출했을때가 최고 문제인것 같아요그래서 그런지 이번에 마미포코에서 제 고민을 어떡해 알고 신제품을 출시했네요원래 저희아기는 마미포코를 사용하고 있었거든요신생아때는 기저귀 선물이 많이 들어와서 사실 조리원에서는 사용을 못했어요그러다가 기저귀 제가 구입해야 하는 상황이 와서 마미포코로 구입을 했는데 저희 아기와 딱 맞더라고요그때부터 지금까지 마미포코만 사용하고 있거든요아마 다들 아기가 태어나면 들어오는 선물이 기저귀 선물일거예요그래서 엄마들은 한동안 기저귀를 구입 안하시는것 같아요저도 한동안 다양한 브랜드를 사용했거든요기저귀 선물하시는 분들을 보면 다들 아기가 있는 집에서 기저귀 선물을 하시더라고요저는 초보 엄마라서 기저귀를 금방 사용했어요심지어 싸지도 않았는데 모르고 갈았던적도 많았어요......... ..?....... 본문 이미지 마미포코 온기케어 팬티기저귀는 피부 온기를 케어해 준다고해요소변 후 기저귀에서 나오는 냉기가 피부에 전달되는것을 줄여 줘서 쾌적하다고 하네요사실 저희 아기도 시댁에서 한참 놀고 있는데 딸꾹질을 할때가 종종 있었거든요그럴때마다 시어머니께서 기저귀 확인해 보라고 하더라고요처음에는 이해가 안갔는데 주위에서 하시는 말씀을 들어보니 아기들은 기저귀 소변에서 전달되는 냉기가 아이에게 직접적으로 전달이 되어 체온변화가 쉽게 온다고 해요그래서 딸꾹질을 자주 한한다고 하더라고요특히 겨울철에는 좀더 신경을 많이 써야 할것 같아요안그래도 추운데 기저귀 소변으로 인해 체온이 더 떨어지면 아기들은 더 추위를 잘 느껴 감기로 바로 이어질 가능성이 큰것 같아요저는 항상 외출할때 외부에 온도에 정말 민감하게 반응을 하거든요급속히 추워지면 바로 감기로 이어질까봐 매번 노심초사해요뿐만아니라 요즘에 부쩍 딸꾹질이 심해져서 기저귀도 매번 많이 가지고 외출을해요아기가 감기에 걸리면 엄마보다 아이가 더 힘든것 같아서 매번 신경을 많이 쓰게 되네요 ......... ..?....... 본문 이미지 이번에 새롭에 마미포코에서 나온 피부온기케어 팬티 기저귀의 특징을 볼까요], 부정 텍스트 확률 : 100.00%"
"[이중 옆샘 방지 다리 밴드], 부정 텍스트 확률 : 53.29%"
"[최대 시간 흡수력], 부정 텍스트 확률 : 83.08%"
"[간편한 뒤처리 테이프기존 일반 기저귀와 어떤점이 다를까요기존 기저귀는 소변을 보면 아기들의 온기를 바로 뺏어 갔지만 이번 피부온기케어 팬티 기저귀는아기들 체온이 내려가는걸 막아준다고 해요기존 기저귀는 소변을 보면 기저귀에서 흡수해서 바로 아기들에게 냉기가 전달된다고 해요아기들은 온도변화에 민감해서 바로 딸꾹질 하는거 알고 계시죠? ], 부정 텍스트 확률 : 93.68%"
"[ 저는 이번에 사이즈 대형을 선택했어요대형은 매가 들어있어요 이번에 새로나온 마미포코 기저귀는 냉기저감시트를 사용해서 아기들의 온도변화에 신경을 많이 썼다고 해요아기들은 체온 유지가 정말 중요하거든요여름에는 상관이 없지만 겨울철에는 온도 변화가 많이 바뀌기 때문에 체온에 신경을 더 많이 써야 해요], 부정 텍스트 확률 : 99.96%"
"[아기들 체온이 떨어지면 면역력도 떨어지기 쉽거든요아무래도 아기들은 어른들보다 체온조절 능력이 떨어져서 주변 온도에 민감하게 반응해서쉽게 몸이 차가워진다고 해요], 부정 텍스트 확률 : 93.82%"
"[체온 도가 떨어지면 백혈구 활동이저하되고 반대로 체온이 도가 오르면 백혈구 활동이], 부정 텍스트 확률 : 85.84%"
"[배 증가한다고 해요 ......... ..?....... 본문 이미지 ......... ..?....... 본문 이미지팬티 기저귀는 밴드 기저귀와 반대로 신축성이 정말 중요한것 같아요밴드 기저귀는 말그대로 밴드로 조절하면 되지만 팬티는 조절이 안되거든요그래서 엄마들의 선택이 중요한것 같아요......... ..?....... 본문 이미지 이렇게 옆으로 뜯는 부분도 정말 잘뜯겨요아기들 크면 기저귀 가는걸 너무 싫어해서 매번 힘들거든요빠른 속도로 기저귀 갈아야 하는데 옆 부분이 잘 안뜯기면 힘들어요 ], 부정 텍스트 확률 : 98.21%"
"[ 제가 종이컵에 있는 물을 다 붓고 나서 이렇게 반으로 잘라서 사진 찍어봤어요어떡해 흡수가 되는지 조금이라도 도움이 되고 싶어서 이렇게 해봤어요아기들이 소변을 보면 올록볼록 해지는거 알고 계시죠?그게 다 이유가 있네요이번에 제가 테스트 했을때도 그랬는데 이유는 새어나오는 냉기가 올록볼록 구조를 통과하여 피부에 닿는 면적이줄어들어 냉기 걱정은 안심해도 된다고 하네요 ], 부정 텍스트 확률 : 99.17%"
"[......... ..?....... 본문 이미지 옷입혔을때도 전혀 불편함이 없더라고요더 잘 놀아요사실 기저귀 선택할때 기저귀 발진이 생길까봐 염려되시는 분들도 많이 계실텐데이번기회에 마미포코로 한번 사용해 보세요저도 다양한 브랜드 많이 사용해 봤지만 이렇게 좋은 브랜드는 없었던것 같아요저희 아기에게도 딱 맞아서 너무 좋은 기저귀예요그런데 이렇게 피부온도까지 생각하는 신제품까지 나왔으니 저는 올겨울에는 마미포코 피부온기케어 팬티로 아기 케어해야 겠어요 ], 부정 텍스트 확률 : 92.20%"
"[아직 너무 어린 우리딸.그래서 그런지 조금만 더워져도 얼굴이 시뻘개지면서 막 각질이 일어나고 조금만 추워도 딸꾹질을 해대며 하얘지는데], 부정 텍스트 확률 : 99.19%"
"[겨울기저귀 마미포코.여름에는 여름기저귀를 쓰듯겨울엔 겨울용을 써야하는게 맞는 것 같다.], 부정 텍스트 확률 : 97.01%"
"[ 겨울기저귀 답게피부온기케어팬티라는 명칭으로 아기의 체온조절을 도와주는올록볼록 냉기저감시트가 들어있는 아기기저귀였다. 개월 우리딸은 뒤집고 서고 난리가 나서팬티기저귀와 일반기저귀를 혼용해서 쓰고 있는데], 부정 텍스트 확률 : 60.53%"
"[마침 팬티기저귀가 똑 떨어져서 마미포코 팬티기저귀로 택해 받아보게 되었다.], 부정 텍스트 확률 : 90.29%"
"[ 짠보이시는가?올록볼록한 세로선이?이 부분이 바로 우리아기들이 소변을 보고 흡수한기저귀의 냉기가 아기들의 피부에 전달되지 않도록 만들어진냉기저감시트란 말씀기저귀 안커버 전체에 다 들어 있어서어느 한 부분만 쬐끔 살짝이게 아니라 더더욱 마음이 놓였다. 가뜩이나 춥고 체온조절도 미숙한아가들에게 요 마미포코의 시트는큰 도움이 되어줄 것 같은 기대감이 들었다. 또한], 부정 텍스트 확률 : 85.97%"
"[ 키로의 우리딸은마미포코 사이즈를 중형으로 택했고 잘 맞았다.완전 꽉 조이거나 너무 헐렁한게아니라], 부정 텍스트 확률 : 78.11%"
"[ 이제 기저귀 갈아볼시간.아기 피부온기를 지켜줄 시간이다.], 부정 텍스트 확률 : 94.25%"
"[ 우리딸 완전킴카다시안 저리가라인데?너무 앙증맞게 잘 맞은 팬티기저귀배를 잡아주는 부분도 너무 꽉 조이지 않아서 아가가 불편하지 않아보였고], 부정 텍스트 확률 : 99.47%"
"[ 요렇게 무릎꿇고 안거나 이리저리 기어다녀도 아주 편해보였단아기 움직임 ], 부정 텍스트 확률 : 74.87%"
"[ 사진], 부정 텍스트 확률 : 53.29%"
"[글육아하면 바로 생각나는 아이템. 바로 기저귀가 아닐까? 아이가 배변훈련을 마치기 전까지 매일 사용하는 기저귀. 아이의 피부에 닿는 제품으로 일상 생활 속에서 자연스럽게 사용하는 제품이라서 더 중요한 아이템이 아닐까 싶다. 두 아이를 키우면서 아이들이 참 다르다는 것을 느끼고는 하는데 그 중에 하나가 바로 기저귀이다. 첫째 래미의 경우에는 어떤 기저귀를 써도 짓무름 없이 잘 사용했지만 둘째 솔라의 경우에는 피부가 예민해서인건지 유독 짓무름이 잘 생겨났다. 나름 유명한 제품들도 많이 사용했지만 기저귀 바깥까지 느껴지는 눅눅함이나 기저귀 샘으로 인해서 정착하는 것은 쉽지 않았다. 특히나 솔라의 경우에는 굉장히 예민한 성격으로 아직까지도 밤잠을 쭉 자지 못하는 아이이다. 이유는 잠을 자던 중 배변을 하게 되면 느끼게 되는 찝찝함. 따라서 난 아직까지도 아이가 편한 밤잠을 잘 수 있도록 높은 흡수율의 기저귀를 찾고 있다.], 부정 텍스트 확률 : 94.69%"
"[ 두 돌이 다 되어가는 시점에서도 편하게 잠을 못자다 보니 아이도 엄마도 힘든 시간 이제는 밤에 편하게 잠 좀 자보자팬티기저귀로 유명한 마미포코의 로켓 흡수 팬티를 만나보게 되었는데 최대 시간 흡수력으로 아기 밤기저귀 추천하기에 딱 알맞은 제품이었다.], 부정 텍스트 확률 : 99.74%"
"[ 이름을 딱 듣자마자 높은 흡수력이 자연스럽게 떠오르게 되는 로켓흡수팬티. 로켓과 같은 빠른 흡수력을 나타내는 이름이 아닐까? 생각해본다.], 부정 텍스트 확률 : 90.88%"
"[아니 오히려 남자아이보다 더 활발한 아이이다. 그러다보니 흡수력이 좋지 않으면 옆샘이 발생하는 경우가 종종 있었다. 거기다가 밤잠을 잘 때 흡수력이 조금이라도 떨어지면 다음 날 바로 짓무름이 생기다보니 체크할 수밖에 없는 흡수력이다. 로켓과 같이 빠르게 흡수하는 제품이다보니 밤기저귀 추천하기에도 손색이 없을만큼의 흡수력을 자랑하는 마미포코. 덕분에 솔라도 편안하게 사용하고 있다.], 부정 텍스트 확률 : 94.30%"
"[ 기저귀를 꺼내어서 내가 제일 먼저 살펴본 부분은 바로 신축성과 옆샘 방지 밴드 부분이었다. 마미포코 특유의 도 허리 밴드가 신축성있게 허리를 꽉 잡아주면서도 아이의 피부는 부드럽게 감싸주는 것을 볼 수 있다. 허리의 앞뒤양 옆으로 부드럽게 잡아주니 아이가 활발하게 움직여도 부담감이 없을 듯 했다.], 부정 텍스트 확률 : 82.98%"
"[ 음료를 붓자마자 바로 흡수하는 높은 흡수력 이름처럼 로켓이 떠오를만큼 빠른 스피드임이 분명했다. 빠르게 흡수하는 것은 물론 많은 양을 흡수할 수 있어 최대 시간 흡수가 가능한 로켓흡수팬티. 밤기저귀로 추천하기에 딱 좋은 이유가 바로 여기에 있다.], 부정 텍스트 확률 : 96.19%"
"[ 눈으로 순간 흡수하는 것이 보일만큼 빠르게 흡수하는 것 뿐만 아니라 역류방지로 묻어남이 없다. 덕분에 아무리 활발한 아이라도 하더라도 움직일 때 피부에 묻어남이 없으니 피부가 뽀송뽀송하게 지켜질 수 있다.], 부정 텍스트 확률 : 93.59%"
"[ 평소 활발함으로는 둘째 가면 서럽다는 솔라도 마찬가지. 아무리 열심히 뛰고 엎드리며 신나게 놀아도 빠르게 흡수하고], 부정 텍스트 확률 : 91.54%"
"[역류방지 기능으로 묻어나지 않으니 피부가 뽀송뽀송 덕분에 예민둥이 솔라도 찝찝해하는 느낌없이 편안하게], 부정 텍스트 확률 : 68.34%"
"[ .빠른 흡수로 불쾌감 없이 밤잠은 편안하게], 부정 텍스트 확률 : 84.27%"
"[마미포코 밤 기저귀 ], 부정 텍스트 확률 : 53.29%"
"[ 밤기저귀로 안심하고 사용하고 있어요 ], 부정 텍스트 확률 : 56.07%"
"[ 쉬야를 다 가리고는 있지만밤에 잘때 혹시나 실수 할까? 걱정이 되어아이가 자기전에 채워주고 있어요.집에서는 괜찮지만.여행에 가서 아이가 이불에 실수라도 하면..직접 세탁할 수도 없고..생각도 하기 싫잖아요.그래서 아이를 위해? 나를 위해마미포코 꿀잠팬티를 사용하고 있어요. ], 부정 텍스트 확률 : 99.16%"
"[ 아이가 뒤척거리며 불편할 수 있기에허리밴드는 넓고. 신축성있게 만들어 졌어요. ], 부정 텍스트 확률 : 85.26%"
"[ 혹시나 쉬가 새지 않도록 옆 샘 방지가 이렇게나 높게 되어 있어요. ], 부정 텍스트 확률 : 63.08%"
"[ 기저귀를 하고 있지만 얇아서 인지아이가 불편해 하지 않고. 평상시에도 팬티 대신 입겠다 하더라구요. ㅋㅋ ], 부정 텍스트 확률 : 61.65%"
"[ 돌돌 말아서 쓰레기통에 쏘옥 버리기.공간도 많이 차지하지 않고. 돌돌말아 버리니 냄새도 덜 나더라구요 ], 부정 텍스트 확률 : 73.22%"
"[ 저희 아기는 얼마전까지 밴드기저귀를 사용하다], 부정 텍스트 확률 : 75.15%"
"[ 개월 아기인 저희 아들은 키로 그램이라서사이즈는 중형으로 선택했어요중형은 기거나 일어서려는 아기가사용하면 된답니다 ], 부정 텍스트 확률 : 62.51%"
"[ 제가 생각했을때 팬티기저귀 사용시기는아기가 뒤집기 선수가 됐을때 그때가 교체시기인것같아요저희 아기도 딱 그때 교체했거든요기저귀 갈아주는 시간이 힘들때후딱 벗기고], 부정 텍스트 확률 : 77.90%"
"[진짜 팬티처럼 도 쭉쭉늘어나는 허리밴드로 움직이는데전혀 불편함이 없고], 부정 텍스트 확률 : 87.41%"
"[ 요 사진은 개월때 사진♡지금은 개월이에요사진 찍어 놓고 포스팅이 조금 늦었어요😆우리아들은 카메라 의식을 잘해요사진만 찍을려고 카메라를 만지려고달라들어서 후따닥 찍어야해요 ], 부정 텍스트 확률 : 94.17%"
"[ 팬티기저귀 언제부터 사용해야하는지에대해 알아봤는데요이건], 부정 텍스트 확률 : 62.68%"
"[제 개인적인 의견이라 엄마들마다다 다를 수 있으니 참고만 부탁드릴게요 ], 부정 텍스트 확률 : 75.70%"
"[기저귀가 문제였구나 저는 괜히 아이한테 자기 전에 물 마시지 말라고 단속하기 바빴네요.밤기저귀추천], 부정 텍스트 확률 : 97.94%"
"[마미포코 꿀잠팬티로 바꾸고 나서부터 밤에 여러 번 쉬를 해도 기저귀가 새서 중간에 깬 적이 없어 넘 좋았어요저처럼 밤기저귀로 고민하시는 분들을 위해 제가 사용하면서 느꼈던 꿀잠팬티 후기를 준비했습니다 ], 부정 텍스트 확률 : 71.97%"
"[ 꿀잠팬티 잠이 솔솔 올 것 같은 이름이지 않나요?두 아이를 키우며 정말 다양한 브랜드의 기저귀를 사용해봤었는데], 부정 텍스트 확률 : 98.56%"
"[ 제가 둘째 키우면서 가장 많이 사용한 팬티기저귀를 뽑으라면단연 마미포코였어요마미포코 에어핏 팬티기저귀가 허리 밴드가 편해서 가장 많이 애용했었는데꿀잠팬티를 만난 건이번이 처음입니다.일단 마미포코 브랜드에 믿음이 갔고], 부정 텍스트 확률 : 56.08%"
"[밤기저귀 전용 느낌이 팍팍 드는 꿀잠팬티 이름에 끌려서 사용해 보기로 했어요. ], 부정 텍스트 확률 : 88.60%"
"[꿀잠팬티가 최대 회분의 소변을 거뜬히 흡수해 주니까밤부터 아침까지 기저귀를 차고 있어도 샘 현상 도 없이 보송함을 유지해서 놀랐네요 ], 부정 텍스트 확률 : 63.12%"
"[ 주변에서 에어핏 팬티가 올해 초쯤 리뉴얼 되고 나서 이중 옆샘 밴드가 빠지면서허벅지 사이로 옆샘이 발생한다는 소문을 듣게 되었어요옆샘으로 워낙 고생을 한 케이스라 살짝 걱정을 했었는데], 부정 텍스트 확률 : 91.99%"
"[ 허벅지 라인을 따라 안팎으로 옆샘 방지 밴드가 지켜주며허리 밴드도 굉장히 신축성 좋고 부드러우면서 흘러내림 없게 만들어져밤새 뒤척이며 자도 새는 현상이 전혀 없었어요우리 아이가 얌전히 자는 편이 아니라 정말 움직임이 많거든요 ], 부정 텍스트 확률 : 73.07%"
"[ 꿀잠팬티사이즈가 맞춤처럼 꼭 맞음그렇다고 쪼이거나 불편하지 않아 밴드 자국도 거의 없고속옷처럼 편안한 착용감 덕분에 착용하면서 아이가 불편함을 호소하지도 않았답니다 ], 부정 텍스트 확률 : 98.62%"
"[ 어린이집에서 요즘 체육시간에 뒹굴기], 부정 텍스트 확률 : 53.63%"
"[꿀잠팬티 옆샘 방지 밴드가 지켜주는 걸 아니까 안심되더라고요. ], 부정 텍스트 확률 : 62.87%"
"[ 기저귀나 물티슈 같이 아기용품들은 이렇게 박스로 와야왠지 든든해지고 뿌듯함이 생겨요마미포코 땀먹는 팬티 사이즈는 대형특대형 있어요대형은 특대형은 남아용여야용으로 구분되어 있으니 아이 체형과 성별에 맞게 구입하시면 되세요둘째는 개월 키로 넘어가는 터라 특대형으로 주문했어요 ], 부정 텍스트 확률 : 93.76%"
