"[팬티기저귀에이메르네이쳐··글·사진멍젤라 ⓒ멍젤라.], 부정 텍스트 확률 : 78.86%"
"[ 부드러운 소프트 원단 답게 아이가 바둥바둥 움직여도 쓸릴 걱정없고몇일 사용해봤는데 따로 발진이 생기는 것도 없다는지인 아가는 다른건 다 발진이 생겨서 한가지 기저귀만 쓴다는데그런거 없는게 어디야ㅠㅠㅠㅠ....고맙.. ], 부정 텍스트 확률 : 98.32%"
"[ 에이메르네이처는미래창조경영우수기업 친환경 유아용품 부문부터한국 소비자평가위 유아용품기저귀 부분위 등 관왕을 한 업체 세스코를 통한 안전한 물류관리부터국제표준규격 인증을 받아 제작된 제품기술력으로더욱 믿고 쓸수 있는.?안심기저귀안심기저귀 ], 부정 텍스트 확률 : 83.69%"
"[좋은 거 주고 싶은 욕심이 크죠저희 아들내미는 한창 호기심 왕성한 개월아들내미예요잠시도 가만히있지않은], 부정 텍스트 확률 : 93.06%"
"[ 개월아기 우리 아들내미는좀 더 활발하고 좀 더 통통한 편이라서여유롭게 입히기 위해 특대형 사이즈를 선택했어요 아이의 체형과 체중에 따라 준비하면 될 것 같아요 ], 부정 텍스트 확률 : 86.12%"
"[ 남녀공용으로 사용이 가능한 팬티기저귀로움직임이 많고 활동이 많은 아기에게 아주 적합하죠특히], 부정 텍스트 확률 : 75.27%"
"[기저귀 교체할 때 얌전히 있지 않는다면 적극 권해드려요 밴드형 은근 힘들더라고요..처음엔 손에 뭘 쥐어주면 잠시 갖고 놀았는데요즘은 시시한지ㅋㅋㅋ 전혀 안 먹혀 기저귀 교체 하는데 어려움이 있었지만팬티기저귀 사용하고는 아주 쉽게 입혀요 하하하], 부정 텍스트 확률 : 93.89%"
"[도 허리부분을 부드럽게 감싸줘 답답하지 않아요저희 아들내미 체형과 체중에 맞게 여유있는 사이즈로 선택도 했지만에이메르네이쳐 팬티기저귀 제품 자체가 꽉 조이는 느낌없이 부드럽게 감싸주는 느낌이더라고요동영상에 보이듯이 정말 쫙쫙쫙 쭉쭉쭉 신축성이 아주 좋아요 ], 부정 텍스트 확률 : 60.23%"
"[단 초도 가만히있지않는], 부정 텍스트 확률 : 51.74%"
"[ 우리 아들은 몸부림도 무지 심해서 정말이지 도가 아니라온 방을 돌며 돌며 꿈나라 여행 열심히 해요그렇게 움직임이 심하더라도 아이가 편안하게 착용할 수 있으며샘 걱정 전혀 하지않아도 되기 때문에 좋아요아침에 일어났더니 소변 빵빵하게 쌌더라고요 노란색→파란색으로 기저귀 교체시기 알림선 有], 부정 텍스트 확률 : 85.24%"
"[밴드형은 양쪽 찍찍이로 쓱쓱 말아 정리한다면팬티기저귀는 뒷편에 있는 테이프로 붙여 정리해요 ], 부정 텍스트 확률 : 84.24%"
"[....우리두찌 승민이 기저귀.에이메르네이쳐 유니크 슬림 밴드 기저귀...저는 이 기저귀를 왜 이제야 알았을까용?..써보면 느무느무 부드러워서.아마 이 기저귀로 많이 갈아탈것같다... ], 부정 텍스트 확률 : 90.62%"
"[ ....우리승민이 .. 라지씁니더 ㅋㅋㅋㅋㅋㅋㅋㅋ..로 태어난 너.언제 요만큼 커서 기저귀 라지쓰냐?.일 넘은 아기인데 .키로를 찍고.에이메르네이쳐 라지를 착용함..근데 저거 몸무게 따라 사지마세요 ㅋㅋㅋ.한치수 큰거사세용.기존 기저귀보단 쪼금 작게 나왔습니다... ], 부정 텍스트 확률 : 99.47%"
"[ ...하나 꺼내보니 얇고 완전 부드러움.집에서 쓰고있는 킨는 흡수도 좋고.발진없이 잘 쓰고있지만.단점을 하나 꼽으라면 뻣뻣함이다.부드러움이 없음ㅋㅋㅋㅋㅋㅋㅋㅋ.. ], 부정 텍스트 확률 : 94.24%"
"[ .여름에 착용하기에 딱인것같다.. ], 부정 텍스트 확률 : 73.40%"
"[ ...통기성이 끝내준다는 에이메르네이쳐.아이의 많은 움직임에도.샘가드가 넓어서 샐 걱정도없다며.. ], 부정 텍스트 확률 : 61.82%"
"[ ...우리아이의 피부에 직접 닿는부분은.소중하니 요렇게 부드러울수록 좋겠죠?.화학냄새도 전혀 없다.. ], 부정 텍스트 확률 : 76.27%"
"[ ...기저귀 허리부분은 밴드가 널찍 하게.잘 늘어남ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.. ], 부정 텍스트 확률 : 79.52%"
"[ ...이제 착용해볼까나?..우리 승민이 허리를 많이 감싸줘서.피부에 닿는부분은 까슬한게 전혀없다..그리고 아기기저귀 사이즈는 대부분 비슷하긴한데.요건 좀 작게 나온거라.사이즈로 했으면 진짜 너무 딱 맞거나.작았을것같다.. ], 부정 텍스트 확률 : 98.37%"
"[ ....승민아 뒤집어보렴 ㅋㅋㅋㅋㅋㅋㅋㅋ..자 보세유 허리가 쭉쭉 잘 늘어나죠?.우리아들 언능 목가누고.뒤집기 합시더..왜이렇게 늦니? ㅋㅋㅋㅋㅋㅋㅋ.늦어도 상관없다만.. 목이라도 좀 가눠볼까?.애미가 힘들다 ㅋㅋㅋㅋㅋㅋㅋㅋ.. ], 부정 텍스트 확률 : 96.02%"
"[ .... ], 부정 텍스트 확률 : 70.23%"
"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ 개월 나무는 으로엉덩이와 허벅지가 좀 통통한 체형이라 점 보 사이즈로 선택했어요 ], 부정 텍스트 확률 : 83.56%"
"[에이메르네이쳐는 밴드기저귀와 팬티기저귀두 가지 타입으로 신생아형부터 점보형까지폭넓게 나오고 있어요 ], 부정 텍스트 확률 : 61.60%"
"[ 부드러운 순면감촉 커버로피부 쓸림은 전혀 걱정 없겠더라고요다양한 기저귀 사용해본 엄마라면기저귀 딱 꺼내서 만져보는 순간 알 수 있잖아요?부들부들 ], 부정 텍스트 확률 : 74.77%"
"[ 부들부들 부드러운 팬티기저귀에이메르네이쳐밤새도록 사용해도 장시간 외출을 해도뭉침 없고 축축함이 없어서제일 만족스럽게 사용하고 있어요 ], 부정 텍스트 확률 : 87.27%"
"[ 에이메르네이쳐 점보팬티기저귀 사용하기 전에타브랜드 킬로 이상 특대형을 사용했었는데허벅지도 쪼이고 엉덩이 한쪽이 자꾸 노출], 부정 텍스트 확률 : 84.94%"
"[ 또 한 가지 팬티기저귀 에이메르네이쳐가안심이 되는 이유기저귀 이물질로 뉴스 많이 나오잖아요 ㅠㅠ 에이메르네이쳐는 물류창고 전 지역에 세스코를 설치해서 깨끗하고 안전한 제품을 위해 노력하고 있다는 점 ], 부정 텍스트 확률 : 70.18%"
"[ 그렇지만 실외온도가 도정도로 나쁘지 않은 상태라 최근엔 올여름 참 열일해준 에어컨을 끄고 창문을 열고 생활중인데요.그렇다보니 도톰한 기저귀를 쓰면 아기가 답답해하더라구요.그렇다 보니 얇지만 흡수가 잘되는 꿀템을 찾아나선 모모애미], 부정 텍스트 확률 : 81.35%"
"[ 저희 모모는 키로를 이미 넘긴상태라아가들이 착용하는 중형으로 준비했어요. ], 부정 텍스트 확률 : 77.66%"
"[ 사랑스러운 민트 컬러 자랑하는 에이메르네이쳐 밴드기저귀 팩에 중형은 개가 들어있는데요. 양이 그렇게 많이 담긴게 아닌지라], 부정 텍스트 확률 : 66.21%"
"[ 기저귀 팩당 사용기한이 아니라 제조일자가 적혀있어요.월 제조라니 월말에 구입한것을 감안했을 때 매우 신상 ], 부정 텍스트 확률 : 86.31%"
"[ 손잡이 부분이 들기 편하도록 양쪽 면이 다 붙어있어 기저귀를 어떻게 꺼내나 고민했는데], 부정 텍스트 확률 : 75.28%"
"[ 뒷면을 돌려서 살펴보면], 부정 텍스트 확률 : 95.25%"
"[허리라인에 잘록하게 밴딩이 된 에이메르네이쳐 유니크 슬림 밴드 기저귀 밴딩부분이 유연하게 늘어나면서 아기의 체형과 상관없이 허리부분을 편안하게 감싸줘요.], 부정 텍스트 확률 : 50.06%"
"[ 그리고 기저귀의 전체저적인 면 뿐만아니라], 부정 텍스트 확률 : 95.79%"
"[밴딩을 부착하는 부분인 요부분이 특히나 부드럽고 자극이 없어아기가 기저귀 갈이 하다 벨크로나 측면 부착부분에 다칠염려가 전혀없는 기저귀에요. ], 부정 텍스트 확률 : 82.81%"
"[ 이제 막 낮잠에서 깬 우리 모모찡에게도 에이메르네이쳐 기저귀를 착용해볼 차례], 부정 텍스트 확률 : 83.94%"
"[ 진짜 한번만 강조해서는 기저귀가 너무 억울해한 보들보들한 소재 ], 부정 텍스트 확률 : 63.45%"
"[ 중형사이즈의 스타트 몸무게인 대의 모모는 번에 찍찍이를 부착해주니 딱 맞게 기저귀 착용이 되었구요.], 부정 텍스트 확률 : 93.57%"
"[ 뒤에도 모모의 신체에 맞춰 적당히 늘어난 밴딩으로 편안하게 핏되는에이메르네이쳐 밴드기저귀], 부정 텍스트 확률 : 88.35%"
"[기저귀가 새는건 아닐까 걱정했찌만 이렇게나 밀착커브로 철벽 샘방지], 부정 텍스트 확률 : 54.60%"
"[ 이렇게나 발재간이 풍부한 모모가 사용해도 새서 불편한 적이 없어요. ], 부정 텍스트 확률 : 71.92%"
"[ 그리고 또 하나 마음에 드는 점은 바로 흡수력과 통기성 이에요.모모는 잇님들도 알다시피 밤에는 시간 정도 통잠을 자면서그간은 통잠을 자도 중간에 칭얼거리며 기저귀 불편한 신호를 줬었는데], 부정 텍스트 확률 : 74.39%"
"[언젠가부터 밤잠에 들면 아침에 깰 때까지 기저귀를 갈아주지 않아도 칭얼대지않더라구요.밤새 쉬아를 잔뜩한 기저귀라 기저귀를 만지면 묵직한 느낌이 들었는데], 부정 텍스트 확률 : 80.85%"
"[ 안쪽을 살펴보니], 부정 텍스트 확률 : 60.64%"
"[ 구매는 여기에서 가능해요.], 부정 텍스트 확률 : 65.10%"
"[안녕하세요], 부정 텍스트 확률 : 53.29%"
"[ 도톰한 기저귀가 아니라 슬림형 이라서 얇고 보관하고 휴대하기 용이 해요아이랑 외출할때 짐이 한봇다리 자나요거기에 기저귀파우치도 한몫 하는데], 부정 텍스트 확률 : 88.50%"
"[얇으니깐 장 파우치에 넣어 다니기도 편하네요 ], 부정 텍스트 확률 : 95.64%"
"[ 순면감촉 커버로 피부자극 없이 부드러워요부드러운 시트 커버로 연약한 아기 피부에 자극을 최소화하여 아이가 편안하게 착용할 수 있습니다미세한 유니크 홀 패드가 공기 순환을 원활하게 해주어서 피부발진이 없도록 도와주며답답함 없이 쉬원하게 착용 할 수 있어요슬림핏 이라서 더 통기성이 좋은거 같아요 ], 부정 텍스트 확률 : 82.47%"
"[ 허리밴드 신축성도 좋아서 아이 체형에 무리 없이 허리가 불편함 없이 착용 할 수 있어요허리뿐만 아니라 허벅지 부분에도 신축성이 좋아서 아주 쭉쭉 늘어 나요 ], 부정 텍스트 확률 : 65.59%"
"[ 허리밴드 고정테이프도 아기피부에 자극없이 되어 있는데요아이가 움직이더라도 흘러내리지 않게 잡아주고 피부에 자극이 덜하게 제작하여 안심하고 사용 할 수 있어요가끔 기저귀 사용하다 보면 너무 답답 할까봐 밴드 살짝 붙여 놓으면 아이가 움직이면서 벗겨져 있는 경우도 있었는데에이메르네이쳐 아기기저귀 사용후에는 그런일이 한번도 없었네요 ], 부정 텍스트 확률 : 81.78%"
"[ 흡수 잘 되고 뽀송뽀송 하니 기저귀 발진이 생길일이 전혀 없네요정말 슬림하고 뽀송한 아기기저귀 에이메르네이쳐가격], 부정 텍스트 확률 : 75.01%"
"[ 에이메르네이쳐 ], 부정 텍스트 확률 : 53.29%"
"[ 보통은 누워서지내는 아기들은 밴드를 많이쓰고기거나 걷기시작한 후론 팬티를 선호하긴하지만쫓아다니는 딱풀이라도 경우에따라 밴드가 편할때도 있어서저는 팬티], 부정 텍스트 확률 : 66.56%"
"[ 밴드 모두 구비해두고 있는데마침 사용하던 밴드기저귀가 똑 떨어져서에이메르네이쳐 사용해보았어요 ], 부정 텍스트 확률 : 76.36%"
"[ 뜯기편하라고 표시되어있는 개봉절개선을따라포장을 뜯어내고 기저귀 개보옹 ], 부정 텍스트 확률 : 86.69%"
"[부녀가 열심히물놀이하는동안 시간이 남아서..ㅋㅋㅋ ], 부정 텍스트 확률 : 71.75%"
"[ 물한컵가득 부어주고는컵 내려놓고 키친타올뜯어오는 초? 초?무튼ㅋㅋ 금새 흡수를 쏘옥 했네요매번 쉬야한 기저귀벗겨서 만져봤었는데..이런방법이.. 키친타올이 여전히 바스락거릴만큼도 젖지않았어요싱기루방기루. ], 부정 텍스트 확률 : 93.17%"
"[ 목욕끝낸 우래기 착용샷♡까무잡잡 토실허벅지는뽀나스♡.♡사이즈 넘나 딱맞는것..ㅋㅋㅋ ], 부정 텍스트 확률 : 80.15%"
"[ 맨날 씻고나믄 기저귀차고 옷입기전도망가는 우리딱풀이♡보들보들 보드라워서 편해하는듯해요몇일동안 밤기저귀로도 사용했는데쉬야가 가득그득 누르면 물이나올지경이라도한방울도 새는거없어서 늠나만족스러웠고], 부정 텍스트 확률 : 90.92%"
"[표고버섯], 부정 텍스트 확률 : 53.29%"
"[차가버섯 추출물과단계 정수시스템을 거친 깨끗한 물로 만들었기에성분 걱정없이 사용할 수 있을거 같습니다. ], 부정 텍스트 확률 : 72.43%"
"[ 에이메르네이쳐 물티슈 한장의 크기는의 적지않은 모습과부드러운 엠보싱처리로 상대적으로 피부가 연한제 아들에게 사용해도 큰 걱정은 없을거 같네요. ], 부정 텍스트 확률 : 79.86%"
"[ 재질이 나름 도톰하고 크기가 적당히 큰만큼아이를 닦아주고 남은 부분을 활용하여아기의자], 부정 텍스트 확률 : 79.68%"
"[..아기를 키우면서 절대 절대 없어선 물건 하나죠.물.티.슈..기저귀를 갈때도], 부정 텍스트 확률 : 53.54%"
"[밥이나 간식을 먹고나서도], 부정 텍스트 확률 : 82.82%"
"[ 쁨이는 한참 모든것을 입으로 가져갈 시기인데], 부정 텍스트 확률 : 55.56%"
"[캡형을 다쓰면 캡만 떼서 붙이면 되서 두가지 다 이용해요 ], 부정 텍스트 확률 : 71.42%"
"[ 캡형은 매], 부정 텍스트 확률 : 52.97%"
"[ 두께차이 보실께요위 캡형매아래 리필형매매 차이인데 캡형과 리필형 두께가 제법 많이 차이나요물티슈 자체가 한매당으로 도톰하다 보니 차이가 꽤 나는 것 같아요 ], 부정 텍스트 확률 : 72.55%"
"[ 물티슈를 사용하다보면 아기가 간식이나 이유식 먹은 후에 아기 얼굴과 손도 닦게 되고], 부정 텍스트 확률 : 63.87%"
"[ 부드럽고 소프트한 엠보싱원단에 향기 없는무향 물티슈간혹 아기물티슈인데 향기가 나서쓰기 꺼려지는것들이 있는데 에이메르네이쳐 물티슈는 무향이라 더 좋은 것 같아요 ], 부정 텍스트 확률 : 88.12%"
"[ 치즈볼 냠냠 다먹은 후에 에이메르물티슈로 입도닦고], 부정 텍스트 확률 : 52.81%"
"[손도닦고요직접 사용해보니 도톰한 엠보싱에 무향이라 자극없어 좋은것 같아요 ], 부정 텍스트 확률 : 87.00%"
"[ 소중한 내 아이를.?에이메르하세요에이메르하세요 ], 부정 텍스트 확률 : 58.98%"
"[아기물티슈 에이메르네이쳐 수분감 추천안녕하세요창원블로거 끈풀린펜다여롸출산부터 아니 그전부터 가정에서 정말 많이 사용하는 아기물티슈그럼에도 아직 정착하지 못하고 떠도는 유목민들 많으시쥬이게 좋다고 하면 이것도 사용해보고 또 새로 나온 게 있으면 혹은 특가 소식에 여기저기 이것저것 다양하게 만나보지만장점이 있으면 단점이 있고 딱 이거다 싶은 제품을 만나기 쉽지 않더라고요저도 그래요 친구가 사용하는 것도 얻어서 써보고새로 나온 제품이 있다고 하면 후기도 찾아보고요그러다가 에이메르네이쳐 사용해봤는데요제 스퇄에 잘 맞는 거 같아서 추천드려볼까 합니다 ], 부정 텍스트 확률 : 98.16%"
"[ 집에 있을 때는 되도록이면 씻기고수건으로 닦이면서 좀 덜 쓸 수 있지만아이와 외출 시 필수품이잖아요특히나 주변에 화장실도 없고혹은 화장실이 있다고 해도 씻길 여건이 안 되면물. 티. 슈만 큼 유용한 게 없고그래서 생활 속에서 많이 사용하고 아이들 피부에 직접 닿는 거라쉽게 혹은 간단하게 선택하지 못했는데요 ], 부정 텍스트 확률 : 80.24%"
