"[...우리 춘삼이는 일 이후부터 밤에 통잠을 잔다..그전에 몇번 시간 자더니], 긍정 텍스트 확률 : 65.96%"
"[가격 불만족시 환불 해준대요 ㅎㅎ 정말인지는 해봐야 알 것 같아요 ㅋㅋㅋㅋㅋㅋ....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지부들부들 하니 촉감도 좋고 ㅎㅎ 얼른 아기들 태어나면 목욕시키고 써보고 싶네요 ㅎㅎ 속싸개도 같이 구입했는데 무늬 괜찮고 이뽀용 ㅎㅎㅎ....... .......? 본문 이미지....... .......? 본문 이미지여튼 아이엠트루 후기가 많이 없어서 제가 한번 사보고 후기 남겨요 ㅋㅋㅋㅋㅋㅋㅋㅋ 가격 대비 괜찮은거 같아서 ㅎㅎ신생아용품은 정말 고민의 연속인거 같네요....출산준비 다들 잘하셔요 ㅎㅎㅎ], 긍정 텍스트 확률 : 100.00%"
"[아직 분명 봄일텐데], 긍정 텍스트 확률 : 79.00%"
"[햇볕도 뜨거워지며 저희 아기도 뜨거워지고 있습니다..ㅜㅜ월부터 집에선 여름옷을 입던 아기인데 벌써 냉방을 하기도 뭣하고해서 이것저것 찾아보다가수유할 때 닿는 피부의 끈적함을 줄여줄 아이템이 있을거같아 검색해보니.?수유토시수유토시 가 나오더라구요속는셈치고 검색해서 바로 나오던.?아이엠트루아이엠트루 제품으로 사보았습니다. ], 긍정 텍스트 확률 : 58.35%"
"[오가닉이란 점이 마음에 든 아이엠트루 수유토시베개 ], 긍정 텍스트 확률 : 59.54%"
"[ 안끈적하고 아기도 땀차지않는다는 점이 최고 좋네요 ], 긍정 텍스트 확률 : 78.02%"
"[ 아기신발 같은걸 선물해주고는 했었는데막상 직접 제가 용품들을 준비해보니까 뭐든 선물해주는 마음은 넘 고맙고 좋지만진짜 실용성 좋은 선물은 따로 있는거 같아요ㅎㅎ가격대도 부담없고 계절도 상관없고 아기가 크면서도 쭉 사용가능한 출산선물추천 할게요케이크박스 포장까지 넘 앙증맞은 아이엠트루 신생아블랭킷 바스타올이에요 ], 긍정 텍스트 확률 : 96.01%"
"[ 출산선물추천아이엠트루엠보블랭킷대나무바스타월 ], 긍정 텍스트 확률 : 79.58%"
"[ 출산선물추천아이엠트루 신생아블랭킷바스타올 ], 긍정 텍스트 확률 : 71.41%"
"[ 예쁜 민트색 케이크박스같은 박스에 담겨있어서더욱 보기에도 좋고 선물하기에도 좋은예쁜 기프트 박스에요 ], 긍정 텍스트 확률 : 99.76%"
"[ 박스를 개봉해보면 저렇게 대나무오가닉소재의 엠모 블랭킷이랑대나무 바스비치타올이 들어있습니다스마트컨슈머가 되는길이라는 문구가 눈에 띄는데요유아업계에서는 최초로 프리미엄보증제가성비보증제를 시행하고있는 브랜드에요 ], 긍정 텍스트 확률 : 61.50%"
"[ 개별포장이 되어있던 두제품을 열어보았습니다그럼 하나씩 상세한 제품설명을 해드릴게요 ], 긍정 텍스트 확률 : 50.51%"
"[ 프린팅이 되어있는 부분은 만지면 시원하기도 하고 부드러운 대나무오가닉소재로 되어있고반대쪽은 저렇게 벨보아 소재의 엠보싱이 톡톡 있어요 엄청 독특하죠이렇게 엠보싱이 있어서 그 사이로 공기층이 형성되서 더욱 포근한 사용감을 줄 수 있어요그리고 흘러내리는 것도 방지해주는 역할도 해주는 똑똑한 엠보싱이에요촉감이 진짜 부들부들 너무 좋아요 ], 긍정 텍스트 확률 : 85.60%"
"[ 사이즈도 로 넉넉해요의 가벼운 무게로 집에서는 물론이고 외출할때도편하게 사용할 수 있을거같아요대나무소재이기 때문에 세탁시에 유의사항은 꼭 참고하셔야해요 ], 긍정 텍스트 확률 : 99.11%"
"[ 그리고 두번째 제품은 바로 바스타올이에요저는 그냥 천기저귀로만 준비할까도 생각했었는데..막상 밤부천기저귀 사보니까..너무 얇아서..이게 물을 잘 흡수할까..포근하긴 할까 하는 걱정이 조금 되긴 했었는데..소재는 물론이고 도톰도톰해서 포근한 사용감까지 줄 수 있는 바스타올이 있었습니다 ], 긍정 텍스트 확률 : 57.91%"
"[ 사이즈는 로 아기가 어느정도 커서도충분히 전신을 감싸줄 수 있는 넉넉한 사이즌데요으로 도톰한 아기수건이라서 섬세하고 민감할 수 있는신생아 피부에도 부드럽고 포근한 사용감을 주면서 안심하고 사용할 수 있어요 ], 긍정 텍스트 확률 : 69.63%"
"[ 아이엠트루라는 브랜드이름이랑 맞게 ㅎㅎ별도의 화학적인 염색도 없이 정말 트루 깨끗하고 퓨어한 화이트 타월이에요대나무소재가 흡수력도 좋다고하니 ㅎ.ㅎ 신생아목욕용품 준비할때 이만한 제품이 없겠죠? ], 긍정 텍스트 확률 : 96.95%"
"[ 덕분에 신생아 목욕을 위해 필요한 모든 용품의 준비를 끝냈습니다귀여운 고래모양의 로고가 박혀있어 더욱 사랑스러워요믿을 수 있는 소재는 물론이고 국내생산 제품인데 가성비가 넘 좋은 아이엠트루자체제작은 물론이고 본사 마진을 최소화하여 높은 퀄리티의 상품들을 거품없는 가격으로 가성비좋게 판매한다고 하더라구요 ], 긍정 텍스트 확률 : 93.07%"
"[안녕하세요 따심이맘입니다오늘은 둘째 단무지의 출산준비를 위해 준비한출산선물을 소개해보려고 해요 신생아가 사용할거라서 아무래도 신중하게 고르게 되잖아요그래서 신생아 전문 브랜드인 아이엠트루에서출산선물 세트로 준비해보았어요주변에 출산선물 하실일이 있거나], 긍정 텍스트 확률 : 64.45%"
"[방수베개커버네가지를 소개해보려고 해요아주 소소하지만 육아하면서 꼭 필요한아이들로만 구성해보았어요], 긍정 텍스트 확률 : 89.44%"
"[무화학비료], 긍정 텍스트 확률 : 51.42%"
"[무농약의유럽 오코텍스 인증을 받은 대나무 섬유만사용하고 있어요 ], 긍정 텍스트 확률 : 76.79%"
"[ 신생아때는 가재수건으로 문질러 닦아줬는데생각해보면 가재수건이 자꾸 빠지고], 긍정 텍스트 확률 : 81.37%"
"[ 베개에 둘러서 끈으로 묶어주면 되는데요어떤 베개 사이즈에도 묶을 수 있어서어디에도 호환이 가능해요공기순환이 되는 방수원단으로 시중 방수제품의단점을 보완해주고 땀이 나는걸 막아줘요세탁도 간편해서 진짜 따심이때도 알았다면좋았을 방수베개커버예요워낙 부피가 작아서 기저귀패드나간이베개커버로 챙겨가도 괜찮을 것 같아요 ], 긍정 텍스트 확률 : 86.92%"
"[ 수유할 때 편한 양면 수유 토시베개따심이는 겨울아기라서 사실 수유베개가딱히 필요하다고 느끼진 않았는데요단무지는 여름아기이다보니 아무래도 수유할때팔에 땀차고 애 잠들면 옮기기도 벅찰것같고서로 더울 것 같아서 걱정이 많이 되었어요 ㅠㅠ아이엠트루 양면 수유토시베개는 메쉬소재로 폭신함은 물론 통기성도 갖추고있어서 여름 출산준비물에 필수인 것 같아요아이의 땀을 제대로 흡수해주고 말려주면서쾌적한 사용이 가능해요또 앞 뒤로 순한 성분의 거즈면이 들어가흘린 땀도 빠르게 흡수해줘서사실 여름필수템이라고 소개했지만 사계절 내내필요한 육아필수템이 아닐까 싶어요 ], 긍정 텍스트 확률 : 96.15%"
"[ 국내 최대 중거즈 블랭킷아무래도 거즈블랭킷은 신생아부터 유아까지필요한 육아필수템이죠 여름이라고 무시할 수 없는게 실내의에어컨 바람을 막아주기 위해 꼭 필요하답니다 ], 긍정 텍스트 확률 : 94.93%"
"[ 따심이도 동생이 나오길 기다리며 ㅋㅋㅋㅋ인형들을 대신해 열심히 이불깔고이불덮어주고 그랬네요 ㅎㅎ출산선물 준비하시거나 출산준비물 챙기신다면아이엠트루에서 다양한 육아필수템 만나보세요소재가 착하고 불만족시환불해주는프리미엄 보증제는 물론이고소재대비 가격 불만족 시에도환불해드리는가성비 보증제까지 되는 아이엠트루하세요근데 사실 너무 좋아서 환불생각 안듬], 긍정 텍스트 확률 : 77.27%"
"[ 가성비 좋으면서도 은근하게 풍겨져 나오는 은은한 컬러감이아가에게도 잘 어울리구요 은근 입히고 보니귀엽더라고요 따땃하게 그러면서도 포근히 감싸주는 느낌이라서 안그래도 오늘 낮부터 점점 추워진다고 하는데 이불을 차도 좀 더 편하게 잘 수 있겠어요], 긍정 텍스트 확률 : 90.58%"
"[ 우리 아들은 연한 보라빛이 도는 것으로 퍼플그레이인데요 다른 색으로는 내추럴 그린색이 있답니다 두가지 컬러 중에서 마음에 드는 것으로 고르시면 되요 장점중에 하나가 대나무 그리고 보다 안전한느낌으로 입히기 좋은 오가닉이라는재질이라는 점에서 아가가 아직 구강기라서옷이며], 긍정 텍스트 확률 : 99.49%"
"[바닥에 떨어진 것을 주워서입에 가져가는 행동을 많이 하는데요 좀 더 옷에 있어서는 위생적으로 아가 입힐 수 있어서 나름 안심이 되더라고요], 긍정 텍스트 확률 : 65.29%"
"[ 고래 옆으로 단추가 하나 보이는데요 여기 훅을 여러번 똑딱하지 않아도 되게 하나만 있구요 그리고 보통여기는 열고 다닐 일이 많으니 잘 때만잠궈주시면 되요 저는 자는 사이에 기저귀를잘 안 갈아주는 타입이라서 잠을 자고다음날 아침까지 이대로 신생아수면조끼 입고 그냥 자면 되요 그리고 기존에 다른것들과 다른 점이 옆선이 열린다는 점이죠], 긍정 텍스트 확률 : 98.13%"
"[ 어깨로만 열어서 옷을 입히듯이 하지 않아도 옆으로 열고 닫으면서 편하게 입힐 수도 있고벗길 수 도 있게 디자인이 되었더라고요 옆선이 열리는 점이 마음에 들었어요 남편도 디자인이 보다 실용적이라고 하더라고요 사이즈는 두가지가 이써요 스몰과 라지저는 개월이 입는 것으로 지금 개월이거든요 그래서 이걸로 쭈욱 한동안 두돌까지 입힐 수 있겠어요], 긍정 텍스트 확률 : 65.29%"
"[ 그 전단계는 생후부터 개월까지구요 마무리되는 선이 동그란 대나무 모양과 잘 어울리게이어지는 느낌으로 되어 있으면서 박음질이촘촘하게 잘 되어 있네요 세번까지는 삶는것을 하지 말라고 하더라고요 저 요즘 아가 커서 그런지 삶는것은잊고 살고 있네요 그리고 삶으실때도 넘 오래 삶지 마시구요], 긍정 텍스트 확률 : 99.91%"
"[ 긴시간 엄마와 있다가 누나가 오고 아빠가오니 점점얼굴의 활기가 더 도네요 안고 있다가 내려놓으니까 천장에 붙여둔 모빌을 보면서아직도 좋아하는 십개월 아가랍니다 안에 입은 옷도 면이라서 서로 다른 디자인이지만참 자연스럽게 어울리는거 같구요 보통 내의는 흰색이 많으니 잠자리에 들기전에위에 입혀서 재우기 딱은거 같네요], 긍정 텍스트 확률 : 99.41%"
"[ 뭔가 마음에 들지 않으나 누나가 하는거라서 징징 거리지않고 걸음마 한걸음씩 걷는 연습을 하고 있어요 뭐 부여잡고는 잘 가는데 혼자 스스로 하기에느아직은 역부족이니깐요 그래도 투정 부리듯이 그러지 않고 약간은 미간을 찌푸리지만 그래도 열심히걷는 연습을 하고 있어요 방보다는 좀 더 공기가 차가운 한파가있는 날이면 거실에서도 잘 입고 있어요], 긍정 텍스트 확률 : 92.16%"
"[ 가만히 앉아서 고래모양을 만지작 한참을 그랬네요신생아수면조끼 부드러운 재질이라서 아가가 거부감없이 잘 입고 있으면서도 좀 더 따뜻하게 겨울 잘 날 수 있겠구나 가을에도 입어도 되는 너무나 두꺼운 타입이 아니라서활동적인 아들에게 딱이더라고요], 긍정 텍스트 확률 : 97.75%"
"[ 괜스레 선물용의 어마어마한 과한 포장이 아닌원단에 더 신경을 쓴 듯한 느낌을 가질 수 있었답니다 그리고 써보면 느낄 수있겠더라고요 재질이 또 얼마나 중요한지를요 첫째는 몸에 트러블이 없는 반면에 둘째는 얼굴부터 뭐가 나고 있어서 요즘 걱정인데 그런 예민스러운 우리 아들에게 딱 제격이더라고요], 긍정 텍스트 확률 : 94.96%"
"[ 한동안 이유식도 거부하고 분유만 먹고 아팠던 일이 지나니좀 괜찮아져서 오늘 좀 제대로 밥을 먹었더니다시금 낮잠도 잘 자네요 역시 밥심인가봐요 이유식 다시 먹일 수 있어서 저도 한시름 덜구요 먹은 만큼 잘 돌아다니고 옹알이도 잘 하거든요], 긍정 텍스트 확률 : 98.69%"
"[ 꼼꼼하게 따져볼 수 밖에 없기도 하고 그만큼 안전함에 있어서잘 검증이 된것이라서 믿고 쓰기에도 좋구요 타올 역시 보드랍게 쓰기 좋아서 두루 아가 잘 쓰고있답니다 가끔은 이불 대신해서 덮어주기도 해요 프리미엄 답게 재질이 좋았구요 그만큼 퀄리티가 마음에 쏙 드네요], 긍정 텍스트 확률 : 78.49%"
"[ 누나는 쇼파 위로 올라가서 있으니 자기도 올라가고 싶다고 엄마를 쳐다보고 있네요 끙끙 거리면서 다리올리고 올라가는거 보면 조금씩 도와주기도 하구요 올라가면 그렇게 좋아서 싱글거리거든요 그리고 누나도 올라온 동생을 귀여워 한답니다.?신생아수면조끼신생아수면조끼 아가에게 잘 맞아서 좋구요 부드러운 재질에 디자인도 잔잔하니 어여쁘구요 올 겨울 든든하게 잘 입히고], 긍정 텍스트 확률 : 99.03%"
"[넉넉한 사이즈라서내년 겨울에도 잘 입을 수 있을거 같아요 아이엠트루 .만나기 ], 긍정 텍스트 확률 : 88.33%"
"[이탈리아를 대표하는 트렌디한 색조 장인 브랜드뿌빠에서 새로운 매트 틴트를 출시했어요그러고 보니 매트립스틱으로뿌빠를 처음 접했었는데 이번 신상 틴트도 대박...선명한 발색에 쫀쫀한 발림성], 긍정 텍스트 확률 : 77.59%"
"[ 묻어남 없는 매트 피니쉬에지속력까지 잡았더라구요 ㅋㅋ역시 믿고 사용하는 메이드 인 이탈리아], 긍정 텍스트 확률 : 93.25%"
"[ 총 가지 컬러가 있는데그 중에서 가지 들고 왔어요매끈하게 빛나는 실버 컬러의 바디가모던하고 세련된 느낌 ♥귀여운 입술 모양으로 투명한 창이 나 있어서한 눈에 색상을 쉽게 확인할 수 있어요.키스프루프의 아이덴티티를 잘 살린 듯], 긍정 텍스트 확률 : 99.83%"
"[ 매트 틴트지만 뻑뻑하지 않고 크리미하게 발려요 한 번만 발라도 본연의 컬러 그대로 나오면서], 긍정 텍스트 확률 : 59.68%"
"[ 제가 리뷰할 여섯 가지 컬러들을나란히 발색해보았어요.차분한계열부터강렬하고 비비드한 계열까지다양한 컬러들이 있더라구요그럼 가지 모두 풀립 발색으로 보여드릴게요], 긍정 텍스트 확률 : 94.09%"
"[ 라이트 로즈개인적으로 가장 마음에 들었던느낌의 핑크 로즈 ♥단독으로 바르면 누디하면서 우아한 색감이고], 긍정 텍스트 확률 : 99.91%"
"[ 빈티지 로즈겨울과 아주 잘 어울리는 고혹적인 분위기죠말린장미에 버건디와 플럼을 살짝 섞은오묘하고 딥한 컬러예요. ], 긍정 텍스트 확률 : 99.35%"
"[ 플라밍고 푸치아푸시아 계열 중에서도 보라빛 쨍쨍한 컬러예요특히 우리 나라 브랜드에서는정말 보기 드문 색감이죠 ㅎㅎ존재감이 어마어마해서포인트 립으로 좋을 것 같아요 . ], 긍정 텍스트 확률 : 99.93%"
"[ 레드 팝생기 넘치는 비비드한 톤으로사계절 언제나 데일리로 바르기 좋은밝고 화사한 레드 컬러예요 ], 긍정 텍스트 확률 : 83.65%"
"[ 키스 미 레드 고혹적인 분위기의 톤 다운된레드그윽그윽 차분하면서도 너무 딥하지 않아부담 없이 바르기 좋았고겨울에 블랙 아우터에 완벽하게 어울리는 색이에요. ], 긍정 텍스트 확률 : 99.80%"
