"[☈항상 상대방을 배려하는 마음을 가졌으면 합니다. 본의아니게 상대방을 상쳐주는 일들이 많아요. ], 긍정 텍스트 확률 : 93.66%"
"[ 요기입니다수끼 골드일반 엠케이수끼보다 살짝 비싸고서비스가좋다곤하는데서비스는 원래좋았고 그냥 더비쌈 ], 긍정 텍스트 확률 : 57.47%"
"[ 우리는수끼세트], 긍정 텍스트 확률 : 73.52%"
"[ 그리고 요렇게땡초다진거랑 마늘다진거랑요 소스를 주는데요 소스가 정말 맛있음 ㅎㅎ저느 마늘이랑 떙초를 요소스에 다 부어서먹어용 ], 긍정 텍스트 확률 : 50.50%"
"[ 우리가 시킨 포도주스랑 사과주스 ], 긍정 텍스트 확률 : 81.89%"
"[ 피쉬볼이랑 버섯이랑 각종야채랑 ], 긍정 텍스트 확률 : 63.91%"
"[ 해물등등이 익어가고 ], 긍정 텍스트 확률 : 51.21%"
"[ 샤오마이 딤섬도 시켜봄 ㅎㅎ요것도 맛있음. ], 긍정 텍스트 확률 : 75.52%"
"[ 고기먹고 ], 긍정 텍스트 확률 : 65.75%"
"[ 새우도 탱글피쉬볼도 맛있음 ], 긍정 텍스트 확률 : 54.78%"
"[ 가는길에 본롤스로이스], 긍정 텍스트 확률 : 59.26%"
"[시암에서 세군데 했는데시암파라곤이 젤 잘쳐줌공항], 긍정 텍스트 확률 : 88.31%"
"[ 굳이 위치를 물으신다면탄매장 앞이예요 ], 긍정 텍스트 확률 : 56.17%"
"[ 직원분들이 매우 친절하시고다양한브라자뽕브라], 긍정 텍스트 확률 : 67.81%"
"[ 나는뽕브라를 찾았지나 브라사이즈이렇다 하고 직원한테 물어보면줄자가져와서 재주시고맞는사이즈 추천해주심그리고 그거 입어보시면됩니다빤스는 세트로있는게아니라팬티팬티 세트세트? 하면노세트팬티 매칭하고 ㅋㅋㅋ 팬티쪽가서그 브라자랑 어울리는 빤스를 맞춰줍니다사진왜 이거밖에 안찍었냐 ㅜ암튼 저는 누드톤 브라팬티 두개해서약 바트정도 사만원정도였어요진짜진짜 너무너무좋음 와코루브라세트와코루브라자 하고있는데 노브라인줄 착각하는 그런느낌임..진짜 하나더살걸 후회막심...꼭 두세개씩 사오세요 비싼브라는 값을해팬티도 똥꼬안먹고 팬티라인안보이고 개쩜 ], 긍정 텍스트 확률 : 81.97%"
"[ 태국하면 역시 나라야지주변에 출산준비하는 언니있으면꼭 들린다는 나라야출산가방], 긍정 텍스트 확률 : 62.44%"
"[ 요렇게 귀여운 퀼트좋아하시는 여성분들이잘 찾는 가방이나 지갑들도있구 ], 긍정 텍스트 확률 : 93.84%"
"[ 물통가방 ㅋㅋ 너무귀엽죠우리엄마 물먹는하마여서요거 하나 사다줬어용 ], 긍정 텍스트 확률 : 89.12%"
"[ 엄마 물통가방이랑시집간 조가영주방장갑 ㅋㅋ ], 긍정 텍스트 확률 : 57.53%"
"[ 주방장갑 진짜 기엽죵 ㅎㅎㅎㅎㅎㅎ저렇게 얼굴달린것도 있음 ], 긍정 텍스트 확률 : 83.68%"
"[ 이 지갑 ㅋㅋ진짜이쁘고안에실속있고여행용지갑으로 쓸려고 하나 샀어요 ], 긍정 텍스트 확률 : 82.15%"
"[나라야후기였어요 사진이 많이 부족했는데.. ㅠㅠ정신이없었음...좋은 정보가 되었길 바라며즐거운 쇼핑하세욤 ], 긍정 텍스트 확률 : 69.50%"
"[ ...........▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼.. .?쿠팡아기옷쿠팡아기옷.?백일드레스백일드레스.?백일원피스백일원피스.?아기백일원피스아기백일원피스.?아기백일드레스아기백일드레스.?저렴한아기옷저렴한아기옷.?예쁜백일원피스예쁜백일원피스.?귀여운백일원피스귀여운백일원피스.?쿠팡쿠팡.?아기민나시아기민나시.?아기나시원피스아기나시원피스. .?아기나시드레스아기나시드레스.?엠케이민나시하트원피스엠케이민나시하트원피스.?엠케이엠케이. .?엠케이민나시드레스엠케이민나시드레스.?아기레드원피스아기레드원피스.?백일드레스추천백일드레스추천. .?돌드레스돌드레스.?돌원피스돌원피스..▲▲▲▲▲▲▲▲▲▲▲▲▲▲▲▲▲▲.......안녕하세요.육아에 빠져서 블로그가 너무너무 뜸하네요ㅠㅠ.저희 사랑이가 태어난지 벌써 백일을 맞이하여서.이제 슬슬 열심히 블로그를 조금씩? 해봐야겠어요... ], 긍정 텍스트 확률 : 51.42%"
"[ .... .?엠케이엠케이 여아용 민나시 하트 원피스 ..너무 예쁘지 않나요?.가격도원피스헤어밴드포함해서.], 긍정 텍스트 확률 : 56.63%"
"[ ...사진으로 보시면 옷이 잘 늘어나서 .몇번 못입을꺼 처럼 보이시겠지만.제가 받아서 입혀본 결과론 만족스럽드라구여.생각보다 쫀쫀하고 마감을 잘 처리해주셨어요.......실제 착용샷 투척..▼.▼ ], 긍정 텍스트 확률 : 93.84%"
"[ 원에 이정도면 괜찮지 않나요?.헤어밴드도 꽃처럼 되어있어서.귀여움과 사랑스러움이 더 느껴지네용.입히기도 힘들지 않고 굳굳.. ], 긍정 텍스트 확률 : 99.99%"
"[ 언제쯤 문자가 올까 기다리고 있었는데며칠 전에당첨 문자 가 왔어요.바로 참석하겠다는 답장을 보냈고친구이벤트에 참여하려고여기저기 육아맘 친구들한테 톡했는데], 긍정 텍스트 확률 : 83.02%"
"[ 다들 아기를 맡길곳이 없다고 하길래이번에도 혼자 다녀왔답니다.], 긍정 텍스트 확률 : 70.07%"
"[ 우리는 아직도 디자인을 더 중요시 여기잖아요?그래서 일찍 가셔야 된다는 겁니다이건 제 뼈아픈 경험에서 나온 건데요.제가 처음로 앤 코 코리 틀 페 어 에 참여했을 때], 긍정 텍스트 확률 : 83.84%"
"[늦어도 시 분그 쯤에는 항상 도착을 했었어요.], 긍정 텍스트 확률 : 59.21%"
"[ 그리고각종 유인물 들을 나누어 주셨어요.시 분에 갔는데도 제 접수번호가 번이었네요.이제는 많은 분들이로 앤 코 코리 틀 페 어 는일찍 가야 예쁜 핫한 아이템을 겟 할 수 있다 는 걸잘 알고 계시나봐요. ], 긍정 텍스트 확률 : 71.51%"
"[ 또로 앤 코 코리 틀 페 어 는롯데 국민행복카드 혜택 이 좋아요.특히 저 낮잠이불은 정말 탐나던데], 긍정 텍스트 확률 : 97.89%"
"[ 전 이미 다른 곳에서 신랑까지 다 만들어서너무 아쉽더라고요.롯데 국민행복카드 만들때는신중하셔야 합니다], 긍정 텍스트 확률 : 59.51%"
"[여러분자리를 맡고 난 후서둘러 매대가 있는 곳으로 갔어요.현금 두둑하게 바꿔온 지갑을 들고어슬렁 어슬렁 돌아다니면서혹시 내가 빼먹은 게 있나 한참 봤어요. ], 긍정 텍스트 확률 : 72.04%"
"[ 먼저참사랑어머니회 대구지점 에서나오셨어요.간단히주소 와휴대폰 번호 를 적어드리면안내 문자 를 발송해주시고아기 손수건 을 장 주신답니다.], 긍정 텍스트 확률 : 65.02%"
"[ 다음은파스퇴르였는데], 긍정 텍스트 확률 : 70.16%"
"[ 파스퇴르에서는사과주스], 긍정 텍스트 확률 : 66.05%"
"[ 위드맘 가방 을 나눠주셨어요.제가 산모교실을 여기저기 많이 다녀서파스퇴르 교육실장님과는 안면을 튼 사이거든요.출산 다가온다고 말씀드리니파스퇴르 위드맘 분유 샘플 포 들어있는샘플박스도 집으로 배송 해주시고조리원가서 조리원 분유받으면파스퇴르 분유로 바꿔주신다 고 하셨어요.저는 파스퇴르 우유를 아가씨 때 꾸준히 마셔서파스퇴르 분유도 꽤 좋게 생각하고 있는데산모교실 다니면서 분유를 두통이나 얻어서이 분유로 바꿔먹일까해요로 앤 코 코리 틀 페 어 의 부스투어 강요없는대표님의 철학 덕분에편하게 부스 방문했답니다.시가 되자 행사가 시작되었어요. ], 긍정 텍스트 확률 : 57.46%"
"[ 로 앤 코 코소속이셨어요.유쾌하시고 사회를 아주 잘보셔서덕분에 산모교실 분위기가 확 살았답니다로 앤 코 코리 틀 페 어 는 별도의 경품추첨은 없지만이벤트를 통해서 경품을 드리긴 해요.마지막이고 하니 특히 더 욕심이 나더라고요.그래서 아주 적극적으로 참여했답니다 ], 긍정 텍스트 확률 : 99.88%"
"[ 부는로 앤 코 코 대표님께서로 앤 코 코리 틀 페 어 를 열게 된 이유와다른 산모교실과 차별화 된로 앤 코 코리 틀 페 어 만의 특색에 대해설명해주시는 시간이었어요.제가 생각했던 산모교실들의 단점들을쫙쫙 설명해주시는데], 긍정 텍스트 확률 : 97.03%"
"[ 외출 시 에는 바디슈트에 다리가 달린우리가 흔히 아는우주복으로 입히면 된다 고해요.이 옷들은 각 벌 정도 준비하셔서돌려입히면 된다고 하는데새것을 사기 보다는 얻어서 물려입히는 게훨씬 경제적이라는 점어차피 아기들은 어려서 몰라요], 긍정 텍스트 확률 : 60.37%"
"[크크 지금 돈 아껴놨다가 애가 알 때 쯤 사줍시다 ], 긍정 텍스트 확률 : 66.74%"
"[ 이렇게보니 꽤 많은 정보를 얻었네요.이렇게까지 꼼꼼하고 자세하게 설명해주는산모교실은로 앤 코 코리 틀 페 어 밖에 없으니꼭 참여하셔야합니다 ], 긍정 텍스트 확률 : 97.94%"
"[ 등하신 맘님은 개 정도 하셨더라고요.그래서 제가 등입니다. 아쉬워라...그래도 등으로 따로 표시해주시고양말 선물 챙겨주셨으니 만족해용등 선물인 분유는 어차피 집에 두통 있다고스스로 위로해봅니다. ], 긍정 텍스트 확률 : 97.77%"
"[ 바로 이블랭킷 이에요블랭킷 이미로 앤 코 코리 틀 페 어 에서장 구입했지만], 긍정 텍스트 확률 : 76.49%"
"[ 많으면 많을수록 좋으니 기쁘게 받았어요], 긍정 텍스트 확률 : 79.32%"
"[ 오늘 받은 사은품들이에요.경품추첨없는데도 이만큼 채움태교했어요이제 출산이 다가와서출산용품은 웬만큼 공부가 되어있으므로이 출산용품들이 좋은 지 너무 잘 알아서아주 기쁘게 집으로 돌아왔답니다.], 긍정 텍스트 확률 : 97.18%"
"[하하덕분에 베이비페어장에선 거의 뭐 안사고로 앤 코 코리 틀 페 어 에서 많이 준비했어요제가 월 초중순쯤 출산 예정이라로 앤 코 코리 틀 페 어 는 오늘이 마지막이었어요.아쉬워서 끝나고도 한참제니스뷔페에 머물러 있었네요.같이 다니던 다른 산모분들에게는아직 몇번의 기회가 더 있는데저는 이제 기회가 없으니 너무 아쉬웠어요.하지만 꿀팁들 많이 얻었고그동안로 앤 코 코리 틀 페 어 덕분에 채움태교했으니아주 만족스럽습니다그동안 너무 감사했습니다.], 긍정 텍스트 확률 : 99.32%"
"[오늘 다녀온 대구 로앤코코 리틀페어 후기에요사실 작년월에 한번 갔던곳인데오늘 또 신청해서 또다녀왔어요ㅋㅋㅋ ], 긍정 텍스트 확률 : 97.98%"
"[ 로앤코코 까페에 현장사진 올리고이벤트참여하는게 있어요ㅎㅎ이것말고 인스타이벤트도 있었는데저는 둘다 참여했지만 뽑히지못해서선물은 못받았네요ㅠ.ㅠㅎ ], 긍정 텍스트 확률 : 89.79%"
"[ 오늘의 행사가 끝나고], 긍정 텍스트 확률 : 63.64%"
"[ 로앤코코 리틀페어가 좋은점애기용품들을 거의 원가에 살수가있어요♡ ], 긍정 텍스트 확률 : 59.85%"
"[ 요건 짱구배게에 깔아주는 깔개겸애기 트름시킬때 어깨에 까는 패드에요재질이 엄청좋았는데 원가 천원에판매하시더라구요ㅎㅎ ], 긍정 텍스트 확률 : 95.01%"
"[ 요것도 애기옷종세트였는데단돈 만천원. 사고싶어서 혹 했는데옷은 아직 참아보기로..ㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 56.72%"
"[ 보험상담만 해도 주시는 선물이에요애기옷종셋트랑 방수요 ], 긍정 텍스트 확률 : 56.72%"
"[ 오늘의 사회를 봐주신 엠케이님ㅎㅎ ], 긍정 텍스트 확률 : 90.14%"
"[ 춤도 잘추시고ㅋㅋ아주 유쾌하셨어요산모교실 많이 다녀봤지만 이분이제일 흥이 넘치시는거같아욬ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 98.84%"
"[ 로앤코코 대표님이세요💓아주 미인이심ㅎㅎㅎ부 강의 직접해주셨어요보통의 산모교실이 운영되는 방법과로앤코코에 대한 전반적인 설명이었어요ㅎ현재 시중에 판매되는 수많은 애기옷이나용품들이 다 로앤코코에서 수입], 긍정 텍스트 확률 : 80.23%"
"[ 부스투어 강요도없기로 유명하죠그리고 질좋은 제품을 거의 원가에살수있기때문에ㅋㅋㅋ현금 두둑히챙겨와야하는 걸로 아주 유명해요♡그리고 참가자 전원 경품증정해주시는것도넘나 좋은거같아요❤❤대표님이 마인드도 너무 좋으시고진짜 산모들 생각을 많이 해주시는것같더라고요ㅎㅎ로앤코코가 나날이 발전하는건 다 대표님덕분이겠죠??.잠깐 쉬는시간을 가진 후부강의도 로앤코코 대표님이 해주셨어요너무 좋은정보 많이주느라 고생하셨어요ㅜ암튼 부는 출산준비물 사는 팁을알려주셨어요ㅎㅎㅎ속싸개], 긍정 텍스트 확률 : 99.98%"
"[ 바디슈트이런거에 대해 자세하게 알려주셔서출산준비물 준비하는데 많은도움이될것같아요ㅎㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 83.54%"
"[ 아 요건 아까 보험상담하면 준다던방수요 사진이에요ㅋㅋㅋㅋㅋㅋㅋ저거 탐나요 귀여운 강아지방수요뒷면은 메쉬소재로 통풍이 잘되서애기들 시간 누워있어도 해롭지않데요로앤코코 대표님의 열정적인 강의가 끝나고잠깐의 레크레이션 시간을 가진 뒤ㅋㅋ엠씨님께서 춤사위를 보여주셨답니다..😁 ], 긍정 텍스트 확률 : 91.45%"
"[ 경광봉들고 열심히 춤추시는ㅋㅋㅋㅋㅋ너무 재미있게 진행 잘해주셔서배꼽빠질뻔했네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ땀 뻘뻘흘리시는데 안쓰러웠어요😫너무 재미난시간 잘 보내고 집에와서오늘 받아온 선물들 사진을 찍어봤어요ㅎ ], 긍정 텍스트 확률 : 99.95%"
"[ 요건 오늘로앤코코에서 참석자전원에게나눠주신 애기 앞가리개? 에요ㅋㅋㅋ트름시킬때 어깨에 까는 패드랑 셋트♡요건 애기다리 끼우고 앞으로 입힌다음뒤에 줄로 묶으면된데요ㅎㅎㅎ침 엄청흘릴때랑 이유식먹을때 유용할거같네요ㅋㅋㅋㅋㅋㅋㅋ제가 로앤코코를 월에 다녀와놓고또 신청해서 간이유애기용품 저렴하게 사고싶어서에요ㅎㅎ ], 긍정 텍스트 확률 : 99.57%"
"[ 여름에 출산예정이라..겉싸개나 애기이불을 어떤거 사야할지고민이 많았는데 얇은이불을 파시더라구요재질도 아주 좋았어용 솜이불은 절대사지말고 거즈이불로 사래요ㅋㅋㅋㅋ이불이 엄청 보들보들해요ㅎㅎ땀흡수도잘되고 통풍도 잘되서 여름애기용으로딱인거같아요ㅎㅎㅎㅎ베페가면 몇만원에 판매되는데로앤코코에선 단돈 만오천원득템💜 ], 긍정 텍스트 확률 : 80.73%"
"[ 그리고 요건 블랭킷블랭킷이 가장 유용하게 쓰인데요ㅎㅎ많이 쓰고 세탁많이하고 하니 금방헤진다고 장장 정도 있으면좋데요저는 일단 블랭킷장 득템했네요❤❤이게 한장에 단돈 천원...개이득아닌가요 ㅋㅋㅋㅋㅋㅋㅋㅋ로앤코코 리틀페어 가실분들은진짜 현금 두둑히 챙겨가세요..넘 저렴하다보니 다사고싶더라구요..블랭킷이랑 이불 더 사고싶긴했는데일단 자제했어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ담에 세번째 신청해서 또가고싶네여..출산이 얼마 안남았을때 가야진짜 필요한게 뭔지 잘 알거같아서요ㅋㅋㅋ아직은 시간이 좀 있어서모르는거투성이😰😰ㅎㅎㅎㅎ암튼 너무 유익하고 재밌게 잘 놀다온로앤코코 리틀페어에요ㅎㅎㅎ .?대구산모교실대구산모교실산모교실로앤코코 .?로앤코코리틀페어로앤코코리틀페어임산부예비맘 .?육아용품육아용품육아템블랭킷애기이불 .?출산준비물출산준비물황금돼지띠맘출산준비 ], 긍정 텍스트 확률 : 96.54%"
