"[ ...요즘 눈에 띄는 기저귀가 있어서 사용해본..애플크럼비 기저귀예요....지금 홈페이지에서 친구추가이벤트중이라], 긍정 텍스트 확률 : 89.18%"
"[ 생각하지않도록 해요 ...페넬로도 우수하지만 애플크럼비를 따라올 자는 없는 것 같네요.낮에는 페넬로 밤기저귀로는 애플크럼비로 정착해볼까해요ㅋㅋ 낮밤 모두 애플크럼비로 가기엔 지출이 좀 커지긴 한다는 ㅠㅠ특가 빵빵 터뜨려주세여방하나에 쟁여보도록할게요], 긍정 텍스트 확률 : 68.84%"
"[안녕하세요. 뽀송이맘 블리에요. 오늘은 뽀송이의 기저귀에 대해 포스팅을 하려고해요. 많은 육아맘들과 혹은 예비맘들이 기저귀는 어떤걸 선택해야하나 고민을 많이 하죠.저도 당연히 피해갈 수 없는 기저귀 유목민이 될뻔했죠. 제가 막내동생과 나이차이가 많이 나서 초등학교때부터 막내동생을 포대기로 업어주고 기저귀도 갈아주고 분유도 타먹였던 기억이 고스란히 남아있는데요. 막상 제가 이제 진짜 엄마가 되어서 이것저것 하려고 하니 뭔가 손에 또 안익어서 서툰것만 같은 느낌...], 긍정 텍스트 확률 : 99.97%"
"[ 진짜 어떻게 해야하나 너무너무 힘들었어요. 출산전에 임신때부터 이리저리 산모교실도 다니고 여러 이벤트 참여를 하다보니 여러회사에서 생산하는 제품의 기저귀들을 접할 수 있었어요. 당장 사용을 해보질 않으니 모든 기저귀 회사마다 당연히 우리 제품이 좋아요. 라고 하겠죠? 아무리 좋은 기저귀라도 내 아이에게 맞지 않다면 그게 과연 좋은 기저귀 일까요?], 긍정 텍스트 확률 : 72.28%"
"[ 그래서 정말 많은 기저귀 들을 사용해봤는데 저는 기저귀를 고를때 중요하게 생각했던 점이 역류흡수발진이런것들에 대한 걱정이 많았어요. 그런데 막상 기저귀들을 사용해보니 뽀송이 엉덩이 혹은 똥꼬에....빨갛게 발진이 일어나더라구요], 긍정 텍스트 확률 : 83.35%"
"[ 말못하는 우리 아가 얼마나 따가울까 얼마나 아플까 얼마나 가려울까 생각이 들더라구요 그리하여 선택하게 된 기저귀가 바로 애플크럼비 기저귀 인데요. 애플크럼비 기저귀를 알게 된건 사실 인스타그램을 보다가 알게 되었어요. 비니컴퍼니에서만 판매하고 있는 애플크럼비는 기저귀계의 샤넬 혹은 에르메스라고 별명이 붙어 있어요 정말 고가이면서 명품기저귀더라구요. 왜 선택을 하게 됐는지가 궁금하실거에요. 그 이유는 바로 친환경 오가닉 제품 이라는 점그리고 또 하나 밤기저귀로 유명해요. 육아맘 분들이라면 누구나 밤기저귀를 까다롭게 선택하실거에요. 왜냐 오랜시간 꿀잠을 자야하는데 기저귀가 불편해서 깨는 경우가 많더라구요. 타 기저귀들을 사용했을때 밤에 시간마다 깨서 울더라구요. 그때마다 기저귀를 확인해보면갈아줘야하는 상황이었어요. 찝찝해서 엄청 울어대는 통에 정말 미쳐 돌아갈것 같더라구요. 그런데 애플크럼비사용 후 달라졌어요.], 긍정 텍스트 확률 : 99.63%"
"[ 이렇게 인증된 제품이라는 점 ], 긍정 텍스트 확률 : 50.47%"
"[ 실제 사용하고 있는 기저귀 보여드릴게요], 긍정 텍스트 확률 : 84.52%"
"[ 왼쪽은 지금 사이즈 밴드형 이구요. 오른쪽은 사이즈 밴드형 기저귀에요. 저희 뽀송이는 현재 사이즈가 남은게 있어서 사이즈 사용중인데요. 이제 조만간 사이즈 사용이 끝나면 바로 사이즈로 갈아타려고 해요. 사이즈는 의 아가들이 사용하면 좋은 사이즈구요. 현재 뽀송이는 세상에 태어난지 일째인데요. 마지막으로 체중을 쟀을때가 . 이었어요. 이제 거의 가 다 되어가죠 슬슬 사이즈로 바꿔줘야 할때가 온거 같아요], 긍정 텍스트 확률 : 97.25%"
"[ 이번에 감사하게도 애플크럼비에서 사이즈 밴드형을 체험해볼 수 있게 해주셔서 뽀송이와 함께 찰칵 해봤는데요?ㅎㅎ 우리 아가 표정이 왜이럴까요ㅋㅋㅋ ], 긍정 텍스트 확률 : 99.21%"
"[ 뽀송이 기저귀를 갈아주면서 실제 사용중인 뽀송이의 애플크럼비 기저귀 착화샷이에요.착용한 기저귀는 밴드형 사이즈인데 이제 넉넉한 사이즈로 슬슬 입혀야 할거 같아요. ], 긍정 텍스트 확률 : 59.17%"
"[ 내돈주고 실제 사용한 후기이면서 기저귀 한팩은 체험해볼 수 있게 제공받았어요. 가격이 비싸다고 망설이시는 분들 있으시다면 핫딜 떴을때 구매해서 사용해보시는것도 좋구요. 한팩이라도 구매하셔서 사용한번 해보시라고 추천드리고 싶어요. 아마 신세계를 경험하시게 될거에요. 이건 제가 실제 한달정도 사용해보고 작성하는 후기에요. 믿고 사용하셔도 되는 리얼후기랍니다. ], 긍정 텍스트 확률 : 62.82%"
"[유일하게 애플크럼비는 주비니앤컴퍼니에서만 판매하고 있다고 해요. 애플크럼비를 만드신 분의 딸의 이름이 애플이라고 해요. 그래서 딸의 이름을 따서 애플크럼비라고 지었다고 들었어요. 마찬가지로 애플크럼비 제품을 제공하는 비니앤컴퍼니는요. 대표님의 딸이름이 비니에요.그래서 비니이름을 따서 비니앤컴퍼니로 만드셨다고 하더라구요. 애플크럼비도 비니앤컴퍼니도 모두 소중한 딸아이에게 누구보다 좋은 제품을 사용하게 해주고 싶은 엄마의 마음이 고스란히 담긴 회사들이지 않나 싶어요. 흡수체도 우리나라에서 이렇게 생산이 된다고 해요. 우리모두 기저귀 유목민에서 벗어났으면 좋겠어요 ], 긍정 텍스트 확률 : 100.00%"
"[ 애플크럼비 오가닉 기저귀 어떤가요? 지금 할인 중이라 사보려고 하는데 평소에 넘 비싸서 고민만 했거든요 ㅋㅋㅋㅋㅋ비싼값을 하면 좋겠어용세돌 다되어가는데 아직 기저귀 ...ㅠㅠㅠ 올 봄부턴 꼭 배변 운동 성공 해야겠어요 흑 써보신분들 후기 좀 부탁드려요 ㅎㅎ오늘 네이버 검색하니 원 정도던데 이정도면 핫딜 맞나요??], 긍정 텍스트 확률 : 98.97%"
"[ 왼쪽은 내가 산 사이즈오른쪽은 체험팩으로 받아보게된 사이즈 ], 긍정 텍스트 확률 : 66.72%"
"[ 오른쪽 왼쪽전 사실 구입할때 사이즈 고민이 많이 되더라구요아직 백일밖에 안되었지만 뱃고래는 크고사이즈표에서 보면 분명이지만 작으면 어쩌나 그것이 고민인데 검색해도 잘 모르겠고 했거든요이 후기를 보게 되신다면 사이즈 참조에 도움이 많이 되셨으면 해요 ], 긍정 텍스트 확률 : 72.89%"
"[ 방금 벗긴 쉬야기저귀에 역류현상이 있는지 알아보기위해 휴지 준비해줍니다사실 물붓고 흡수력 실험하는것도 중요하지만 실제로 내 아이가 차고 역류가 있나 없나 보는게 가장 중요한거 아니겠어요? 이것저것 흡수력 좋다고 실험한것들 보고 혹해서 산 기저귀들중에 실제로 써보곤 축축한것들 많았거든요 ], 긍정 텍스트 확률 : 93.68%"
"[ 사이즈 다시 체워줍니다 ], 긍정 텍스트 확률 : 70.83%"
"[ 자는동안 심심하니 타 기저귀와 크기비교같은 단계라고 해야할까요?아무튼 같은 사이즈라 길이나 너비는 거의 비슷한데요애플크럼비가 배둘레는 획실히 타이트해서 밴드를 끝부분에 겨우 붙여야해요ㅎㅎ낮잠 두시간정도 자고 일어났어요더욱 생생한 역류현상 실험을 위해 찍었습니다. 자다가 방귀 뀌었는지 아주 살짝쿵 응가가 조금 보이는점 이해 바랍니다아주 리얼리얼 실험입니다적어도 두번쯤 쉬야한 리얼 동영상입니다ㅋ ], 긍정 텍스트 확률 : 98.63%"
"[마미포코 땀먹는 기저귀 팬티스타일 사실 제일 맘에 쏙 든 제품....ㅠㅠ쉬를 쪼끔만 해도 훅 부풀어나서 훼이크침.장점 잘뜯김], 긍정 텍스트 확률 : 96.10%"
"[밑위짧음], 긍정 텍스트 확률 : 76.41%"
"[두개 쓸때 미묘하게 땀띠생기는 느낌?. 애플크럼비스모 스타일사이즈 넉넉하나 여름용이 아닌듯. 솔직히 가격비싼 이유를 도 모르겠음. 그냥 저렴이랑 똑같은데 프리미엄마케팅 하는 느낌. 강남 팬티기저귀라는 어떤 블로그 있더만 굳이 이게 왜?장점보드라움.....?단점 겨울에 좋을듯. 두꺼움.... 가격비쌈. 쿠잉 스모선수핏사이즈 살짝 작고 두꺼운 편. 지인이 한팩 줫는데 뚱띠둥이들에게 살짝 작은 감이 있어 후딱 사용함. 장점 가격?단점 사실 잘 모르겠음. 팸퍼스팬티스타일이나 스모선수핏에 가까움현재 둥이들의 밤기저귀 흡수 잘되고 보송보송함. 엎어저자는 후둥이 쉬가 전혀안새서 정착중임. 밑위 길고 한치수 크게 사서 쓰니 배 밴드도 너무 조이지 않고 잘 뜯김.장점 흡수잘됨. 후둥이 쉬 완벽방어. 단점 알갱이가 만져짐. 밤기저귀라 그냥 씀. . 킨도 오리지널 팬티갑옷스타일키로때 사서 쓴건데 ... 사이즈가 너무 작아서 ㅜㅜㅠㅠ 키로짜리 친구 아기에게 보냄 ㅠㅠㅠㅠ 다른건 모르겠고 너무 사이즈 미스가 심해서 딱 두개 쓰고 친구 다 줌 ㅠㅠㅠㅠㅠㅠㅜㅜ장점 모르겠음단점 기저귀 너무너무 작음 ㅠㅠ 키로수보다 한단계 업하고 뚠뚠이 친구들은 두단계 업해도 맞을듯 ㅜㅜㅜㅜ. 페넬로페 씬씬씬티팬티스타일아주 얇고 가벼워 여름용.허리고무줄도 좋고 뜯김도 좋아 정착하려했으나 철사비스무리한 것이 같이 동봉되어있어 쿠에 항의후 교환 하고 그냥 마지못해 쓰는 중. 장점 얇고 가벼움단점 나에게 왜그래요... 이물질 ㅠㅠ 당첨됨. 중국산.. 슈퍼대디스모선수핏이나 극복가능정도임ㅋㅋ페넬로페만큼 가볍고 얇음. 아주 부드러움.현재 둥이들의 낮기저귀. 장점가성비 좋음. 얇고가볍고부드러움단점중국산. 케이맘 처음팬티스모선수핏장잠 가성비. 부드러움단점 허리밴드는 끼고 밑위가 길어 고추부분이 남는 기분. 갈수록 짧아지는ㅋㅋㅋㅋ 유목민 후기임니다... 오늘도 여기저기 헤매어 봅니다. 담엔.. 어디꺼써볼까요..? ㅜㅜ ], 긍정 텍스트 확률 : 97.78%"
"[큰 돈이예요..샘플을 한팩 더 살수있음........... ], 긍정 텍스트 확률 : 66.49%"
"[ 소변이 새어나옴...새벽에 비몽사몽 기저귀 갈아주려는데.응가 새서 바지에 다 묻어있으면 깊은 빡침... ], 긍정 텍스트 확률 : 71.46%"
"[ .같은 팬티형 기저귀 단계지만 회사마다 스타일이 다름...보들보들한게 있고 종이처럼 빳빳한게 있다........... ], 긍정 텍스트 확률 : 92.19%"
"[ ....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지애플크럼비 친환경 유기농기저귀체험팩 당첨되서 착용해보았는데ㅎ화학냄새도 하나도 안나고부드럽고 보송보송하니 넘 좋네요하기스도 좋다고 생각했는데애플크럼비로 기저귀 바꿔야겠어요ㅎㅎ감촉이 너무너무 좋네요👍시간 장시간 기저귀 착용하는.아기에게 넘 좋을꺼같아요ㅎ], 긍정 텍스트 확률 : 99.99%"
"[ 고민에 빠진 모모맘이에요 모모 출산준비와 육아용품을 고르고 구입할 때그닥 고민을 하지않았던 것 같아요.저도 초보맘이라 모르는게 많으니 주변에 묻고많이 찾아보고 포인트 정하고 구입하는 식이였는데요.이번에 처음으로 이렇게 장기간 고민을 하게 됐어요. ], 긍정 텍스트 확률 : 93.73%"
"[ 최종적으로 제가 추려낸 가지 신생아기저귀브랜드저렴한 기저귀 여러번 갈아주는게 나을까? 고민도 했지만제일 예민하고 신경쓰이는 부분이라비싸도 좋은거로 쓰고 싶어서 가지로 추려봤어요. ], 긍정 텍스트 확률 : 59.03%"
"[ 덴마크제품인 밤보네이처에요.덴마크황실에서도 쓴다는데 진짜인지는 모르겠네요유럽 최초로 에코라벨을 획득한 기저귀이구친환경기저귀로 워낙 유명하더라구요. ], 긍정 텍스트 확률 : 87.83%"
"[ 원✔ 장당 원밤보네이처 공식쇼핑몰기준 ], 긍정 텍스트 확률 : 52.23%"
"[ 집에 마침 샘플로 받은게 하나 있어서 뜯어보기도 했는데요.물도 뿌려보고 포스팅하듯이 테스트를 해보니흡수력도 좋구 새는것도 거의 없더라구요.물론 실제 모모가 찬다면 다를 수도 있지만요 어쨌든], 긍정 텍스트 확률 : 75.04%"
"[소재면에서 맘에 들고 흡수력도 맘에 든다는게 장점이에요소변표시줄도 벌꿀추출이다보니 화학적 중금속이 들어가있지않다고 하더라구요그리고 유럽에서 생산되고 제조돼요사실 제조가 유럽에서 된다는 점때문에 좀 더 끌렸어요.요새 하도 기저귀에도 이물질나오고 문제가 많았으니까요. ], 긍정 텍스트 확률 : 91.26%"
"[ 하와이하우저 기업의 목재펄프를 사용하고 있고면이 굉장히 부드럽다고 하더라구요.후기에 발진과 함께 샘방지가 잘된다는게 많았구요.흡수력을 테스트해보고 싶은데유일하게 샘플이 없는 기저귀라 흡수력테스트도], 긍정 텍스트 확률 : 93.06%"
"[ 직접 만져보지도 못했어요 그렇다보니 오히려 더 고민이 되는 제품이구요.가격은 단연 제일 비싸요.많이 비싸요ㅋㅋㅋ 샀는데 안좋음 화날지도 몰라요.단], 긍정 텍스트 확률 : 82.34%"
"[쿠팡서 찾아봤을땐 제조국이 대륙이라 그게 좀 신경쓰이는 부분이에요. ], 긍정 텍스트 확률 : 79.06%"
"[ 다음주 월요일까지는 최종선택을 해야주문하고 출산가방에 다 준비해놓을텐데후기를 찾아보면 찾아볼수록 더 고민이네요. ], 긍정 텍스트 확률 : 66.27%"
"[ 너무너무 고민했더니 꿈에서도 모모 기저귀고르는 꿈꿨어요 주말동안 좀 더 공부하고 공부해서 최종결정해야겠어요.혹시 가지 기저귀브랜드중에 써보신분들이나주변에서 어떻다더라 들으신분들은댓글주시면 진짜 감사합니당...❤ ], 긍정 텍스트 확률 : 99.50%"
"[ 요즘 엄마들 사이에서 핫한 애플크럼비 기저귀 저도실제로입소문을 듣고 밴드형으로 정착해서만족하며 사용중이였는데요], 긍정 텍스트 확률 : 93.35%"
"[ 이번에 좋은 기회로 팬티형까지 사용해 볼 수 있게 되었어요 ], 긍정 텍스트 확률 : 94.65%"
"[저희 아기는 몸무게정도인데워낙 활동양도 많고 움직임도 많은 아이라 그 어떤 기저귀도 늘 한사이즈 업해서사용하기 때문에 이번에도사이즈 초이스했어요. ], 긍정 텍스트 확률 : 87.16%"
"[방향제], 긍정 텍스트 확률 : 57.16%"
"[화장수], 긍정 텍스트 확률 : 68.64%"
"[프탈레이트 결합제 이 모든 것들이 없는 화학물무첨가제품으로국내 식약처 개항목 적합판정을 받은 기저귀라고해요], 긍정 텍스트 확률 : 51.53%"
"[ 우리아기 엉덩이가 닿는 부분도], 긍정 텍스트 확률 : 88.49%"
"[ 뿐만 아니라가공하지 않은 나무색의 자연소재 시트로유해물질 걱정없이 사용 할 수 있어요아이몸에 닿는 것 하나하나 유해물질에 민감한 시대이니만큼 꼼꼼히 따져봐야 할 부분들이죠 ], 긍정 텍스트 확률 : 52.92%"
"[ 무엇보다], 긍정 텍스트 확률 : 69.95%"
"[ ㅋㅋ 처음 후기를 찾아봐도 극히 드물때부터 사용해왔던 기저귀라 더욱 애착이 가기도 하고 믿음도 가네요.], 긍정 텍스트 확률 : 90.75%"
"[ 이제 기저귀 떼는 그 날까지 우리아기 기저귀는 애플크럼비 기저귀로 쭉 함께 할꺼예요 ], 긍정 텍스트 확률 : 64.87%"
