"[ 브레이크는 요렇게 생겨서 발에 힘주지 않아도 가볍게 사용할 수 있구요], 긍정 텍스트 확률 : 89.83%"
"[저번에 부산 롯데키즈마트에 갔는데], 긍정 텍스트 확률 : 57.64%"
"[그리고 맘까페 도움으로 얻어서 생활했는데], 긍정 텍스트 확률 : 80.01%"
"[공주님은 유모차를 사야겠다는 생각이 들어서], 긍정 텍스트 확률 : 59.19%"
"[우리집 기획재정부장관님께서 폭풍검색을 통해기내반입도 되고], 긍정 텍스트 확률 : 63.52%"
"[수납공간도 괜찮고], 긍정 텍스트 확률 : 94.71%"
"[핸들링이 괜찮고], 긍정 텍스트 확률 : 88.45%"
"[가격이 많이 안비싼.. 유모차를 구입하게 되었습니다.눈으로 직접 보고], 긍정 텍스트 확률 : 62.91%"
"[공주님도 앉혀보고], 긍정 텍스트 확률 : 62.02%"
"[그리고 기념품도 더더욱 주길래온라인보다 개이득], 긍정 텍스트 확률 : 88.75%"
"[식판도 주고 컵홀더도 주더라구요 인터넷 구매보다 더 좋았네요 그리고 생각보다 배송도 빨리 왔어요. 일 정도 소요?사용한지 거의 일 정도 되었습니다. ], 긍정 텍스트 확률 : 88.96%"
"[다낭에서 박 일간 함께했던 맥시코시 유모차.. 이젠 보내야할것 같아.. 가벼워서 잘썼는데 이젠 보내야할 때가 온것 같아요], 긍정 텍스트 확률 : 81.63%"
"[우리 간섭왕자님은 공주님 유모차 설명서를 어찌나 꼼꼼히 읽던지.. 오빠노릇은 잘하겠어요 아 그리고 년 버전에 달라진 점이 등받이 부분이 더 들어갔다고 하네요.], 긍정 텍스트 확률 : 54.56%"
"[접는게쉬웠어요 아직처음이라헤매긴하는데익숙해지면편할듯그리고], 긍정 텍스트 확률 : 84.00%"
"[같이 온 식판이에요. 바 조립하고 다시 저것으로 바꿔 껴보려고 했는데], 긍정 텍스트 확률 : 72.16%"
"[응?? 저만 바 빼는 것이 힘든가요? ㅎㅎ 포기했어요. 나중에 다시 여유로울때 도전해봐야겠네요. 휴대용유모차 사야지 했을 때 마침], 긍정 텍스트 확률 : 55.69%"
"[담주면 다낭으로 떠나는 우리세식구 ], 긍정 텍스트 확률 : 85.59%"
"[다낭가서 편히 쓸수 있는 유모차를 검색하다가 기내에서 들고 탈수있고 양대면 가능한 가벼운 유모차를 알아보다가 와이업러블리 유모차로 초이스 대륙의 실수 요야유모차의 업그레이드 제품요야에서 새로 출시된 와이업 유모차가격도 합리적이고 가볍고 핸들링도 좋고가성비 굿 ], 긍정 텍스트 확률 : 99.64%"
"[오오 맘에든다 ], 긍정 텍스트 확률 : 68.94%"
"[바퀴 핸들링도 좋고거실에서 태워보니 짱짱이도 좋아한다 ㅋㅋㅋ ], 긍정 텍스트 확률 : 95.31%"
"[어서 따뜻해지면 와이업러블리 타고 나가야징 ], 긍정 텍스트 확률 : 94.11%"
"[핫하고 핫한 와이업올뉴지니 휴대용 유모차를 구매햇어요블프때 떠서 급하게삿어용ㅋㅋㅋ원래 쓰던 리 휴대용 유모차가있었는데 의자각도가 넘 불편해서지인들이 와이업올뉴지니 추천추천하고 저도 실제로사용해보니 너무 편하고 좋더라구요 그래서 이때가싶어남편꼬셔서 휴대용유모차를 지르기로햇어요ㅎㅎ월에 제주도갈일도있는데 기내반입유모차라고하니넘넘 편하게갈수있을거같아요 실제로 들어보니 가볍고일단 어깨끈이따로잇어 편하게 어깨에맬수도있겟더라구여배송오고 바로 남편과 뜯어 사용해보니 좋네라고 생각이들었고제딸고 그전 휴대용유모차와는달리 의자각도가 다르니 너무 좋아하도라구여 하루빨리 바꿀걸이란 생각이들었네요와이업올뉴지니 휴대용유모차 사실생각있으신분은 빨리사세용ㅋㅋㅋㅋㅋㅋㅋ강추입니다 .?와이업올뉴지니와이업올뉴지니.?휴대용유모차휴대용유모차.?기내반입기내반입 ], 긍정 텍스트 확률 : 99.99%"
"[폴딩도 편하고 가볍습니다기내반입도 된다니 최고의 유모차로 인정 ], 긍정 텍스트 확률 : 94.77%"
"[안전바 대신 식판으로 변경 할 수 있는 옵션 구성이있다컵홀더도 착 ], 긍정 텍스트 확률 : 71.79%"
"[와이업올뉴지니 휴대용유모자 구입했어요 후기만 보고 진짜 좋은가 하고 의심 많이했었는데 막상 받고보니 너무 좋네요디럭스만 썼는데 휴대용 유모차인데도 핸들링 완전 좋구요 차양막 끝까지 내려오는거 이거 진짜 좋습니다각조조절 또한 진짜 쉽게 조절되는데 와이업올뉴지니 추천합니다어디 여행갈때도 와이업올뉴지니 휴대용 유모차 한대만 가져간다면 너무 좋을것 같아요 진작 살껄휴대용유모차답게 전용가방도 있고 폴딩도 쉽고 완전 만족해요 ], 긍정 텍스트 확률 : 68.92%"
"[디럭스유모차만 사용하다가 주변에서 휴대용유모차로 와이업올뉴지니를 추천해 구매했는데 너무 좋네요. 이번 겨울에 제주도여행계획이 있는데 와이업올뉴지니는 기내반입 유모차라 더욱 좋습니다.아이가 개월인데 디럭스유모차만 타봐서 휴대용유모차를 거부할까봐 무서웠는데 티바를 너무좋아하네요 ], 긍정 텍스트 확률 : 56.55%"
"[와이업 올뉴지니 휴대용유모차는 장바구니도 굉장히 넉넉하고 등받이 각도도 도 까지 조절가능해요 누워서 태울수 있다는게 정말 마음에 드네요 차양막도 밑에까지 잘 가려주고 자바가 아기들 안전에도 정말 좋을것같아요 ], 긍정 텍스트 확률 : 98.78%"
"[밑에처럼 사은품들도 컵홀더 식판이 같이 왔어요외출시 유모차에서 간단하게 과자나 이유식 먹일때 정말 편할것같아요기내반입이 가능해서 나중에 아기가 커서 여행갈때도유용하게 쓰일 유모차입니다기대이상 마음에 듭니다 구매예정이시면 고민없이구매하셔도 후회안할것같아요왜 휴대용유모차는 와이업 올뉴지니를 구매하는지 알것같네요 ], 긍정 텍스트 확률 : 83.53%"
"[와이업 휴대용 유모차를 사고선 아기가 어려 사용 못하고있다가 좀 더 큰 요즘 사용하고있다̆̎핸들링은 정말 좋다. 코너는 물론 좁은 공간에서도 유모차를 잘 돌릴수있었다.처음 사용은 애기 이모가 데리고 나갔을때 사용했는데 태우자마자 울길래 미국사람들처럼 유모차 조깅을 했다더라ㅎㅎㅎㅎㅎ 근데 씽씽 잘달린다며 좋다고 했다. 와이업 올뉴지니를 선택한 이유중에 하나가 차양막 때문이었는데], 긍정 텍스트 확률 : 67.70%"
"[아가가 다음달이면 돌이라 휴대용유모차를 타도될것같아 와이업 올뉴지니을 구입하게 되었어요요즘 휴대용유모차 없는집이 없더라구요열심히 검색한 결과 제가 선호하는 부분에 딱 들어맞는 휴대용유모차가 있는거에요바로 와이업 올뉴지니었어요배송도 빨라 받자마자 외출했는데등받이가 도로 되는게 너무 좋고색상도 이쁜 올블랙에핸들링이 기존 드럭스를 능가할정도로 부드러워깜짝놀랐네요 ㅋㅋ와이업 올뉴지니가 평점이 좋은이유를 알겠어요 ㅋ기내반입용 유모차라 여행갈때도 유용할것같아휴대용유모차 사길 잘했다는 생각이 드네요더군다나 아기가 너무 잘 타고 있어서 좋아요디럭스에선 맨날 뒤집으려하고 그랬는데....ㅋㅋㅋ와이업 올뉴지니 진심으로 추천드려요 .?휴대용유모차휴대용유모차 .?기내반입유모차기내반입유모차 .?와이업올뉴지니와이업올뉴지니 ], 긍정 텍스트 확률 : 67.31%"
"[이제 개월이 된 우리 다온♡무럭무럭 자라고 있어서 늘 고맙기만해요그런만큼 저의 손목은 나가리가 되어가는것 같아요ㅠㅠ조금이라도 저의 손목을 지키고자 디럭스 유모차에서 휴대용 유모차로 바꿔타려구요그래서 열심히 검색 검색 또 검색제가 원하는 조건은. 제 손목 보호를 위해 바꾸기로 결심한거라 가벼워야해요.. 핸들링이 좋아야겠죠? 안그럼 바꾸는 의미가 없을테니 말이죠. 그래도 유모차인데], 긍정 텍스트 확률 : 97.71%"
"[. 마트를 가보았습니다. 집에서 몇 번 굴리는것보다 마트 한번 가서 굴려보는게 좋지 않겠어요? 오 와이업올뉴지니 선택 잘한것 같아요 한 손으로 운전이 가능할 만큼 가볍고 핸들링도 굿 아기도 편안하게 잘 탔어요심지어 장을 본 뒤], 긍정 텍스트 확률 : 99.99%"
"[차에 유모차에 실을려고 하는데 엄마 껌딱지가 울어서 제가 한 손으로는 아기를 안고 한 손으로 유모차를 접고 트렁크에 싣는것까지 했습니다 디럭스라면 꿈도 못 꿀 일 오 신세계 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 93.39%"
"[ 심플하니 넘 예뻐요], 긍정 텍스트 확률 : 84.51%"
"[네 알려주셔서 감사합니다], 긍정 텍스트 확률 : 85.08%"
"[제주도 잘 다녀오세요 후기 잘봤어요ㅎ], 긍정 텍스트 확률 : 88.31%"
"[후기잘봤습니다 ], 긍정 텍스트 확률 : 76.83%"
"[이거보고잇엇는데 잘봣습니딘], 긍정 텍스트 확률 : 58.65%"
"[잘봤어요], 긍정 텍스트 확률 : 76.83%"
"[후기 잘봤습니다], 긍정 텍스트 확률 : 76.83%"
"[ 오 좋아보여요 ], 긍정 텍스트 확률 : 57.56%"
"[아로하감사합니다], 긍정 텍스트 확률 : 89.88%"
"[ 저도 이거쓰는데 좋아욬ㅋㅋㅋㅋ], 긍정 텍스트 확률 : 97.32%"
"[ 와이업 가볍고 좋아요], 긍정 텍스트 확률 : 86.05%"
"[와이업올뉴지니사용해요ㅋㅋ], 긍정 텍스트 확률 : 89.71%"
"[이 어떤 의미예여??제품이 있어야 호환이 된다는데 의미를 잘 모르겠더라구요.. ㅠㅜ], 긍정 텍스트 확률 : 93.59%"
"[오 저희도 와이업 샀어요ㅎ 괜찮은듯], 긍정 텍스트 확률 : 97.93%"
"[저희도 와이업 구매했어요 만족 하고 잇습니다], 긍정 텍스트 확률 : 64.75%"
"[인터파크에요ㅠㅠ 어제까지였던가같은데ㅠㅠ 원이용], 긍정 텍스트 확률 : 96.59%"
"[우와 정말핫딜이었네요ㅎ 몇달전에구매했는데 이쁜바닥이 눈에들어와요😍], 긍정 텍스트 확률 : 95.00%"
"[저두 리모델링하면서 바닥이 젤 마음에 들어용ㅎㅎ], 긍정 텍스트 확률 : 89.21%"
"[쪽지보내드렷어요], 긍정 텍스트 확률 : 81.72%"
"[쪽지보냈습니다], 긍정 텍스트 확률 : 62.67%"
"[쪽지보냈어요], 긍정 텍스트 확률 : 62.67%"
"[네 한손으로 다 가능해요], 긍정 텍스트 확률 : 51.79%"
"[쪽지보냈어요], 긍정 텍스트 확률 : 62.67%"
"[ 저두 휴대용으로추가 구매한건데 꽤커서 아가가 편히 잘앉아있는거같아요 ㅋㅋ], 긍정 텍스트 확률 : 76.16%"
"[ 저도이거써요 ㅎㅎ 효자템입니당 ㅎ], 긍정 텍스트 확률 : 96.65%"
"[디럭스만 쓰다가 휴대용은첨인데 생각보다 너무 괜찮아요], 긍정 텍스트 확률 : 75.79%"
"[저도완전만족하며쓰고있어요. 핸들링 대박이구ㅋㅋ대신조심할게있어요.유모차 똑같은분들이 많아서 안바뀌게 조심해야해용ㅋㅋㅋㅋㅋ 저오늘 키카갔는데 똑같은게 나란히...ㅋㅋㅋ], 긍정 텍스트 확률 : 60.38%"
"[ 저랑신랑은 키커서 와이업편한데..키작으심타보가 나을거같기도 해요], 긍정 텍스트 확률 : 73.14%"
"[우왕 감사해요😍😍], 긍정 텍스트 확률 : 84.51%"
"[저인데요오늘 타보 배송받았는데 불편하지않았어요 여태껏 쓰던애들보다 편한것같아요 제키에는ㅎㅎ], 긍정 텍스트 확률 : 69.08%"
"[저도키큰편은아니지만와이업올뉴지니완전편해요핸들링너무좋고등받이각도조절이레버로조절되고요 와이업올뉴지니휴대용유모차추천해요ㅎㅎ], 긍정 텍스트 확률 : 98.69%"
"[직접가서 끌어보는것도 좋을거같아요 저는 요요랑고민하다가 와이업으로결정했는데 적극추천해요 ㅎ], 긍정 텍스트 확률 : 91.65%"
"[ 어디서 구매 하셨는지 정보좀 주세요], 긍정 텍스트 확률 : 51.75%"
"[중곡정해진네 채팅방에 답드렸는데ㅎ], 긍정 텍스트 확률 : 92.31%"
"[얼마전 에 핫딜떠서 바로 구매했어요], 긍정 텍스트 확률 : 50.62%"
