"[ 접고 펴기 매우 쉬운 구조], 긍정 텍스트 확률 : 63.96%"
"[포대기는 외출하기에는 너무 더워서 얼른 유모차를 구매 해야 겠다 싶었다.유모차는 사실 임신했을 때 부터 계속해서 보고 있었는데], 긍정 텍스트 확률 : 70.05%"
"[ 대부분 사람들의 말이], 긍정 텍스트 확률 : 52.92%"
"[유모차는 애기 태워도 보고 직접 끌어보고 사야 한대서인터넷 구매는 무리라고 판단], 긍정 텍스트 확률 : 59.09%"
"[따복이를 데리고 유모차 매장으로 조리원 동기님에게 별내 베이비플 매장을 추천받고], 긍정 텍스트 확률 : 84.30%"
"[특히 하비는 내 마음속 순위였기 때문에 가격도 슬쩍 물어보고 방문했다. 다행히 세 제품 전부 구비된 상태매장 방문 했을 때 사람들이 많지 않았고], 긍정 텍스트 확률 : 73.20%"
"[매장에 웬만한 유모차 모델들이 거의 다 구비되어 있어서유모차 고민하는 어뭉님들이 방문해서 비교해 보기에 진짜 좋다고 생각했다. ], 긍정 텍스트 확률 : 63.26%"
"[고심끝에 선택된 유모차 후보는], 긍정 텍스트 확률 : 63.88%"
"[하비의 장단점 ], 긍정 텍스트 확률 : 52.07%"
"[모델을 밀어봤는데 다넘나 무겁고 뻑뻑하게 느껴지는....특히나 모델이 더ㅠㅠㅠㅠ 한손으로도 밀어봤는데 다른 두 모델은 한손으로 밀기도 넘나 힘들었따..하비의 맛을 보니까 다른 유모차 핸들링은 진짜 너므나도........... 힘든것세 유모차가 전부 나름대로의장단점을 가지고는 있었지만 어떠한 장점도 하비의 핸들링을 이기지 못했고], 긍정 텍스트 확률 : 90.65%"
"[하비의 어떠한 단점도 핸들링이 커버쳤다. 장점소형트렁크에도 들어가는 사이즈특히나 우리 차는 소형 였기 때문에 트렁크가 크지 않아서], 긍정 텍스트 확률 : 80.35%"
"[꽤 큰 장바구니 등 단점풀차양막이라하기엔모자란 차양막아래 사진도 올려두긴 했지만], 긍정 텍스트 확률 : 91.80%"
"[ ㅠ 그래도 뭐 완전짧은건 아니므로..햇볕 쨍쨍할때는 따복이를 잘 가려줘야 할 것 같다.그외 단점 트렁크에 넣을때 바퀴 하나 빼야되는점? 그러나 이거는 우리 차의 단점이므로 아직그외 단점은 딱히 발견하지 못했다.결국 하비로 구매사은품도 컵홀더], 긍정 텍스트 확률 : 62.69%"
"[유모차 정리함 등등 굉장히 넉넉히 챙겨주셔서 넘나 만족ㅎㅎㅎㅎㅎㅎ 일요일에 구매를 하고 화요일에 도착아래부터는 넘나 이쁘고 사랑스러운 콜블랙 하비의 개봉기 ], 긍정 텍스트 확률 : 99.73%"
"[미나리가 퇴근하면 같이 조립하려고 했는데 얼른 따복이를 태워보고 싶은 마음에 혼자 조립을 시작했다. 조립은 크게 어렵지 않았고], 긍정 텍스트 확률 : 69.67%"
"[ ㅠ조립 완료 후일단 하비의 자랑중에 하나인 어댑터를 끼워봄 ], 긍정 텍스트 확률 : 87.84%"
"[따복이를 눕힐 수 있도록 최대로 눕혀보았다. ], 긍정 텍스트 확률 : 57.36%"
"[여기서 내가 생각하는 하비의 단점이...ㅠㅠㅠ 풀차양막은 아니라], 긍정 텍스트 확률 : 71.80%"
"[햇빛에 노출되는 부위가 꽤 넓을 수 있겠다는 점이다. 근데 이건 아직 따복이를 데리고 주행?을 나가본 적이 없어서 모르겠다.얇은 블랭킷을 하나 덮어줘야 따복이의 소중한 다리를 지킬수 있을 듯하다. ], 긍정 텍스트 확률 : 88.97%"
"[이제 폴딩시간 ], 긍정 텍스트 확률 : 61.03%"
"[폴딩 또한 매우 간단하다.손에 익으려면 많이 해봐야 겠지만ㅠ], 긍정 텍스트 확률 : 76.84%"
"[ ㅠ어댑터를 끼운 상태에서 폴딩하면시트랑 장바구니 사이에 틈이 꽤 생긴다.이렇게 폴딩하면 우리차에 절대 안들어갈듯ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 84.45%"
"[내 키는 약 으로 준 호빗에 속해서 그런지], 긍정 텍스트 확률 : 84.93%"
"[마지막 마무으리 ], 긍정 텍스트 확률 : 75.55%"
"[거실 한켠에 잘 주차 되어있는 걸 보고만 있어도 흐뭇하고 뿌듯하고 매우잘 빠진 하비아직 발견 못한 단점이 있을수도 있지만], 긍정 텍스트 확률 : 87.77%"
"[디자인과 핸들링은 진짜 진짜 대박인것 같다.내 손바닥보다 훨씬 큰 바퀴도 매우 튼튼해 보인다.앞으로 우리 따복이를 잘 부탁해 하비야 ], 긍정 텍스트 확률 : 98.88%"
"[얼릉 끌고 나가보고 싶다 얼릉 날씨가 풀리기를..... 푹푹 찌는 여름이여얼릉 바이바이ㅠㅠ이 창살없는 감옥에서 벗어나 얼릉 산책도 나가고 싶고ㅠㅠ마트도 스윽 배송 말고 직접 가서 장 보고싶닷...이상 이뿐 하비 후기 끝], 긍정 텍스트 확률 : 63.16%"
"[앞으로 따복이 포스팅 열심히 해보쟛 언제 태어날지 모르는 따복이 동생때를 위하여... ], 긍정 텍스트 확률 : 64.52%"
"[출산이 한 달 앞으로 다가오면서슬슬 출산준비물을 구입하기 시작했답니다.여러 출산준비물 중가장 고민을 오랫동안 많이 한유모차얼마 전까지오르빗 를 사려고 했으나....오르빗에게 안녕을 말하고새로운 유모차를 알아보기 시작했답니다.그러다가알게 된], 긍정 텍스트 확률 : 71.85%"
"[럭셔리 블랙을 살까콜블랙을 살까 하다가 ], 긍정 텍스트 확률 : 78.02%"
"[이너시트랑 삼각 쿠션 ], 긍정 텍스트 확률 : 53.43%"
"[완성된 모습예쁘죠 ], 긍정 텍스트 확률 : 95.35%"
"[차양막을 내려주면이런 모습이에요. ], 긍정 텍스트 확률 : 85.37%"
"[저는신생아 때부터집안에서 태우고 다닐 생각이거든요.그래서 중요하게 생각했던 게양대면과 요람형이 가능한가 였어요.그런데하비 이지워커는양대면과 요람형이 가능하답니다.시트를 최대한 눕히고 ], 긍정 텍스트 확률 : 67.09%"
"[이너시트를 깔면신생아 때 요람형으로 눕힐 수 있어요. ], 긍정 텍스트 확률 : 63.05%"
"[차양막을 내려주면눈부셔하지 않고잘 자겠죠 ], 긍정 텍스트 확률 : 85.44%"
"[유모차 구입하면서여러 회사 유모차를 밀어봤는데하비 이지워커가 정말 부드럽게 밀리더라구요.한 손으로도도 돌리기가 가능하더라구요 ], 긍정 텍스트 확률 : 56.96%"
"[바구니가 커서짐을 싣기도 편할 거 같구물론한 달 뒤에 직접 태워봐야정확하게 판단할 수 있겠지만디자인도 예쁘고높이도 높고바퀴도 크고부드럽게 잘 밀리고여러모로 마음에 드는 제품으로잘 구입한 거 같아요 ], 긍정 텍스트 확률 : 93.68%"
"[ 지원이 첫 빠방이 포스팅..?이지워커이지워커.?하비유모차하비유모차.?디럭스유모차디럭스유모차 임신중일때 세이베베 특가로 뭣도 모르고 리안 솔로 유모차를 샀었는데], 긍정 텍스트 확률 : 65.10%"
"[생각해보니 태어나고 사는 게 좋을 듯 싶어 바로 취소했었다.그리고 지원이가 태어나고 난 후 다시 시작된유모차 고민 ㅠ.ㅠ ], 긍정 텍스트 확률 : 99.53%"
"[디럭스장점안정감이 있다], 긍정 텍스트 확률 : 58.25%"
"[사용기간이 짧다절충형 장점가볍다], 긍정 텍스트 확률 : 87.01%"
"[ 어느 모델로 할 지 고민에 빠졌다.후기를 찾아보면 볼수록 더 혼란스러웠다 ㅎㅎ. 리안 스핀로얄디럭스는 아니지만 리안 솔로도 보기. 잉글레시나 트릴로지이렇게 가지로 추린 다음 실제 매장에 가서끌어보고 결정하기로 했다. ], 긍정 텍스트 확률 : 74.25%"
"[각도조절 등 다 보여달라고 했는데친절하게 잘 응대해주셔서 좋았다.매장에 가서 실제로 밀어보고], 긍정 텍스트 확률 : 78.57%"
"[ 포스팅으로 볼 때는 예뻐보였는데], 긍정 텍스트 확률 : 73.61%"
"[디자인도 고급스럽고 젤 좋은 건 시트높이가 높아서 좋았다.사실 싸이벡스 프리암이 디자인으로는 제일 마음에 들었지만 유모차에 만원 넘게 쓰고싶진 않았고], 긍정 텍스트 확률 : 88.81%"
"[막상 직접 보고나니 색상결정에 고민에 빠졌다.유모차 하나 사는데 끝이 없는 고민의 늪 ㅠㅠ ], 긍정 텍스트 확률 : 81.45%"
"[ 이번에 새로 추가된 쉐도우블루럭셔리블랙 색상과기존 색상 가지로 총 가지 색상이 있다. 럭셔리블랙 이 바퀴], 긍정 텍스트 확률 : 88.20%"
"[프레임까지 모두 올블랙이라맘에 들었는데 차양막 재질이 멜란지 스타일이 아니고 약간 우산재질의 느낌이랄까.. 그게 제일 마음에 걸렸고 봄], 긍정 텍스트 확률 : 97.30%"
"[ 손잡이시력보호커버하이어댑터신생아패드앞바퀴뒷바퀴시트프레임으로 구성되어 있고설명서는 펴보지도 않음 ㅎㅎ그냥 프레임에 앞뒤 바퀴 딸깍 부착시트부착손잡이 부착이면 분안에 조립완성], 긍정 텍스트 확률 : 93.81%"
"[ 신생아 유모차로에 꼭 필요한 양대면 기능.시트를 들어서 간편히 방향을 조절할 수 있다.시트도 가볍기 때문에 사용하는데 어려움을 없을 듯. ], 긍정 텍스트 확률 : 81.35%"
"[ 앞보기 상태로 폴딩한 상태.유모차 고를 때 시트를 분리한 다음 폴딩되는 건불편할것 같아 꼭 원터치폴딩이 되는 걸로 찾았는데], 긍정 텍스트 확률 : 60.49%"
"[ 육아맘들이 유모차 고를 때 중요하게 본다는넓디 넓은 장바구니.깊이도 깊어서 꽤 많이 들어갈 것 같은데], 긍정 텍스트 확률 : 98.41%"
"[리안에서는 디럭스 모델인 스핀로얄도], 긍정 텍스트 확률 : 57.39%"
"[ 한쪽 혹은 양쪽모두 분리가 되서 아기를 태울 때편리하게 한쪽으로 빼놓고 태울 수 있을 듯. ], 긍정 텍스트 확률 : 75.54%"
"[ 손잡이 길이를 최소최대로 늘린 것.손잡이가 단계까지 늘어나서 사용자의 편의에 따라 사용하면 될 듯. ], 긍정 텍스트 확률 : 70.70%"
"[하비유모차 실제 시승 후기 ], 긍정 텍스트 확률 : 65.03%"
"[ 주말에 날이 따뜻해져서], 긍정 텍스트 확률 : 93.46%"
"[유모차와 사람과의 거리 간격도 편하게 조절할 수 있고 하이어댑터 덕분에 장바구니 공간이 훨씬 넓어져서 큰 가방을 넣어도 여유있다.그리고 유모차 디자인이 넘 예쁘고 고급져서 간지남...ㅎㅎㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 71.69%"
"[ 유모차가 편한지 외출 내내 한번도 안 깨고푹 잔 지원이.신생아는 대부분 자는 시간이 많을텐데 도로 시트가 쭉 펴지니 그게 가장 큰 장점인 듯이제 날씨가 더 풀려서 사계절 커버 없이 다니면 더 예쁠것 같다직접 구매 후 작성한 포스팅입니다. ], 긍정 텍스트 확률 : 51.85%"
"[ 유모차추천디럭스유모차 폴딩이 쉬운 디럭스 이지워커 하비유모차 후기 ], 긍정 텍스트 확률 : 85.54%"
"[또한 ], 긍정 텍스트 확률 : 87.51%"
"[바구니가 굉장히 깊고 넓다요건 하비유모차 장점중의 한가지로 뽑힘사기전에 많은 후기들을 봤는데 ㅋㅋㅋ다들 바구니가 커서 맘에 든다구 하더라 ], 긍정 텍스트 확률 : 84.45%"
"[하비유모차의 제일 큰 장점], 긍정 텍스트 확률 : 56.57%"
"[여자혼자서도 쉽게 폴딩할 수 있다 는 요것좌측은 어댑터를 빼지 않았을떄의 폴딩모습이구], 긍정 텍스트 확률 : 61.03%"
"[ 우측은 어댑터를 빼고 폴딩했을때의 모습이다.확실히 어댑터를 안했을떄가 더 확 접힌 느낌이기는 하다 ], 긍정 텍스트 확률 : 61.40%"
"[요건 하비유모차의 앞보기와], 긍정 텍스트 확률 : 66.29%"
"[양쪽 어댑터쪽을 눌러서 시트부분을 뺴서 수동으로 돌려야함확실히 어댑터를 껴서 그런지 ㅋㅋ높다잉얼른...열무 태어나서ㅠㅠ이 유모차에 재워보고싶다....아가만 잘적응해준다면높은시트와], 긍정 텍스트 확률 : 80.77%"
"[완벽한 폴딩에], 긍정 텍스트 확률 : 89.14%"
"[겨울 아기라 유모차 천천히 사도 된다는 생각에 미루기만 하다가 정작 급해지니 또 충동적으로 구매하게 되는 건 아닌가 싶어 더 신중하게 고민하다보니 아이가 개월이나 되고서야 구매하게 되었다 출산을 앞 둔 분이 이 글을 보고 계시다면 유모차 미리미리 알아보시고 직접 핸들링 해보시는 거 추천일단 내가 키가 커서 핸들과 요람 자체가 높은 유모차 위주로 많이 알아보았고 그렇게 좁혀진 후보로 하비 이지워커], 긍정 텍스트 확률 : 63.42%"
"[싸이벡스 프라암이 비교군이었다 인터넷 정보 보다는 직접 보고 끌어 보는 게 맞다 싶어 집근처 맘스맘 매장에 직접 가서 아이 앉혀보고 운행하며 핸들링도 직접 비교해보았다 먼저 싸이벡스 프라암 같은 경우는 카시트을 이 브랜드로 구매해서 좀 호감이 있었는데 핸들은 높으나 요람이 낮아 저 처럼 키 큰 분들은 허리를 숙여야한다 .무엇보다 내 아기는 프라암 승차시 거부가 심해서 목록에서 제외 아이를 태웠을 때 승차감이나 핸들링 하비 이지워커 스토케 모두 좋았으나 저는 최종적드로 코엑스 베페에서 마지막으로 비교 후 이지워커 하비를 구매했다스토케와 비교 후 하비를 구매한 가장 큰 메리트는 제가 원하는 모든 조건을 갖췄음에도 불구하고 가격대가 경제적이라 가성비 측면에서 메리트가 있었다이번 의 가장 큰 단점이 유모차 장바구니라 생각했는데 하비는 공간이 넓은 것이 장점 사실 디럭스의 목적이 근거리 외출 이용인데 주부들은 마트를 제일 많이 가게 되는데 필요하고 비교해봐야 할 부분이라 생각한다사진은 유모차 공기청정기 장착 후 첫 문센 가는 날이었는데 외부에서 끌어 본 결과 텐션이 좋은 서스펜션으로 충격 흡수가 잘 되어 아이도 편안해하고 저 역시 무난하게 핸들링 할 수 있었던 거 같다. 저처럼 윰차 고민하는 키큰 맘들에게 제 후기가 많은 도움이 되었음 좋겠다 ], 긍정 텍스트 확률 : 99.92%"
"[무게와 디자인 체크하고 난 후 확신이 오더라구요그리하여 결정한 하비이지워커 제품이예요.일단 후기가 좋았고], 긍정 텍스트 확률 : 79.19%"
"[추천도 많아서 믿음이 갔구요. 디럭스와 절충형의 단점을 보완한 제품인듯 해요.저는 가까운 매장으로 가서 직접 밀어보구], 긍정 텍스트 확률 : 79.81%"
"[ 직원 설명도 듣고 난 후 구매했어요 그래야 후회가 없을거 같더라구요.색상은 럭셔리 블랙 제품으로 결정하고], 긍정 텍스트 확률 : 79.39%"
"[전 집안에서도 아가 태우고 다니네요. 백일 넘으니까 바운서는 앉으려하질 않아서요 바운서 두가지 종류 있는데], 긍정 텍스트 확률 : 86.81%"
"[ 직접 끌어보시면 더 와닿을거용양대면이 가능하고], 긍정 텍스트 확률 : 70.13%"
"[높이도 높아서 눈맞추기가 좋아요 또한 폴딩이 쉽고], 긍정 텍스트 확률 : 86.98%"
"[장바구니가 넓어서 좋네요 바퀴도 부드럽게 잘 굴러가구요ㅎ잘 결정한거 같아요 아직까진 단점 모르겠어요참고로 전 몇일동안 알아보고], 긍정 텍스트 확률 : 92.41%"
"[ 유모차 추천하비 이지워커 디럭스 유모차 개봉후기 ], 긍정 텍스트 확률 : 61.54%"
"[첫또복이 포스팅육아용품 중의 꽃이라고 할 수 있죵??ㅎㅎ또복이의 생애 첫 차 ], 긍정 텍스트 확률 : 92.62%"
"[한달동안 후기들 찾아보고 베페에서 직접 끌어보고 결정 했어요카페에서 육아맘들 사이에 알게모르게 입소문 난 유모차라고해요가성비 갑 하비 이지워커 유모차포스팅 시작할께용 ㅎㅎ ], 긍정 텍스트 확률 : 97.33%"
"[베페가서 끌어보고 응꿍이가 완전 반했다죠??ㅎㅎ안정적이고 부드러운 핸들링에 반해버렸어요하비 끌고 다른 유모차 끌어보니...다른 유모차는 눈에 들어오지도 않았다능 ㅎㅎ ], 긍정 텍스트 확률 : 90.18%"
"[드디어 기다리고 기다리던 또복이의 첫 차하비 이지워커 유모차 도착 ], 긍정 텍스트 확률 : 97.08%"
"[남산만큼 나온 배로 후따닥 조립했어요 ㅎㅎ생각보다 쉽더라구요제가 구입한 색상은 스틸그레이실제로 보면 더 고급스러워보여요 만족만족♥ ], 긍정 텍스트 확률 : 99.74%"
"[부드러운 촉감과 내구성이 강한 멜란지 원단을 사용해서 더 고급스러운 느낌이예요 ], 긍정 텍스트 확률 : 74.88%"
"[제가 하비유모차를 고른 이유중 하나요 와일드한 장바구니인데요넓직해서 물건 수납하기에 너무 좋을 것 같아요 ], 긍정 텍스트 확률 : 90.27%"
"[신생아패드 장착한 하비유모차울 또복이 빨리 태우고 싶잖앙♥ ], 긍정 텍스트 확률 : 99.87%"
"[ 하비 이지워커☆ 빵빵이 첫 유모차 개봉후기가벼운디럭스유모차신생아유모차추천 ], 긍정 텍스트 확률 : 89.55%"
"[.?하비유모차하비유모차.?하비이지워커하비이지워커.?디럭스유모차디럭스유모차.?유모차추천유모차추천.?신생아유모차신생아유모차.?가벼운디럭스유모차가벼운디럭스유모차.?가성비유모차가성비유모차.?세피앙몰세피앙몰유모차랑 카시트 고민은 임신하면서 부터 시작했는데빵빵이가 태어나서 일이 지나서야 드디어 유모차를 선택했답니다 ㅋㅋ ], 긍정 텍스트 확률 : 76.79%"
"[하ㅠㅠㅠㅠ 육아용품 고르기란 넘나 어려운것], 긍정 텍스트 확률 : 86.54%"
"[유모차를 사려고 계획 한 모든 엄마들이 같은 고민으로 숱한 밤을 보냈을거예요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 69.47%"
"[ 신생아때부터 사용 가능한 유모차로 지면으로부터의 충격을 완화해주는 서스펜션이 강회되어 안전하고 ], 긍정 텍스트 확률 : 66.62%"
"[ 시트 눕힘 각도가 커서 허리와 목의 힘이 약한 아기들에게 안정감을 주는 무게감 있는 유모차 ], 긍정 텍스트 확률 : 78.98%"
"[빵빵이랑 병원 가는 것 말고 첫 장시간 외출♥삼일절엔 사람이 너무 많을 듯해서 아놀드 연차쓰고 금요일 낮에 갔는데도 이미 사람들 바글바글임신 중기쯤? 한번 왔었는데 그땐 뭐가 뭔지도 몰라 제대로 못봤는데출산하고 나니 필요한 것도 많고 보고싶은 것도 많아서 몇 시간을 뺑뺑이 돌았는지 몰라요 ㅋㅋ ], 긍정 텍스트 확률 : 99.72%"
"[하비 순서로 방문했는데마지막에 하비 유모차를 끄는 순간 깜놀만원대의 고가 유모차보다 더], 긍정 텍스트 확률 : 51.08%"
"[ 부드럽고 가벼운 핸들링에 안정감까지 느껴지더라구요게다가 세 브랜드중에 가격까지 젤 이쁨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 96.28%"
"[이번엔 색깔 때문에 다시 고민 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ선택 좀 그만하고 싶다 ㅠㅠㅠㅠ실버 스타일인], 긍정 텍스트 확률 : 89.64%"
"[ 스틸그레이와 최근 새로 런칭 한 블랙 스타일의 럭셔리블랙], 긍정 텍스트 확률 : 90.60%"
"[하비는 생소해하는 분들도 많은데], 긍정 텍스트 확률 : 79.77%"
"[ 네덜란드 브랜드로 국내에는 작년에 런칭한 유모차래요런칭한지 오래되지 않아서 길에 너무 흔하게 다니지 않아서 더 좋더라구요 ㅋㅋㅋ그런데 요즘 유모차 후기에 하비가 많은 걸 보면 곧 같은 유모차 엄청 마주칠 듯 ㅠㅠ두둥 ], 긍정 텍스트 확률 : 58.93%"
"[ 유모차 박스 상단에 멤버쉽 스티커가 있는데 동그란 홀로그램을 떼서 유모차에 붙여주셔야해요근데 접착력이 좀 약한듯 벌써 떨어질랑 말랑........불안 ], 긍정 텍스트 확률 : 56.20%"
"[ 정품 등록하면 악세사리할인 쿠폰을 줘서 좋더라구요 ㅎㅎ ], 긍정 텍스트 확률 : 86.10%"
"[ 기간도 추가 연장해주니 꼭 해요 ], 긍정 텍스트 확률 : 88.15%"
"[ 제품설명서], 긍정 텍스트 확률 : 54.29%"
"[유모차 프레임거의 반조립 상태로 오기때문에 여자인 저도 금방 뚝딱 끝낼 수 있었어요 제품설명서는 열어보지도 않고 조립 후에 읽어 봄 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.16%"
"[휠 소프트 서스펜션이 적용되어 있어요 ], 긍정 텍스트 확률 : 72.69%"
"[ 독립식 휠 서스펜션으로 유격을 최소화해서 신생아때부터 안전하게 태울 수 있는 유모차랍니다바퀴도 큼직하니 튼튼해 보이죠 ], 긍정 텍스트 확률 : 70.68%"
"[ 더 큼직한건 장바구니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 넓어요시트까지 공간도 높아서 부피가 큰 물건도 실을 수 있어서 정말 편할 것 같아요근데 장바구니 큰걸로 왜때문에 아놀드가 젤 좋아하는거죠?ㅋㅋㅋㅋ], 긍정 텍스트 확률 : 70.96%"
"[안전바도 꽂아주면 유모차 완성 ], 긍정 텍스트 확률 : 54.46%"
"[신생아시트베이비 페어 사은품은 거의 같고 바뀌는건 시력보호커버 아니면 사계절커버로 주는 것 같더라구요사계절커버방풍커버가 실용성 있는것 같은데 ㅠㅠㅠ어쩔 수 없이 사계절커버는 정품등록하고 할인 쿠폰 받은 걸로 추가 주문했어요 ㅋ하비 유모차 커버 이야기는 요기서 더 자세히 볼 수 있답니다 ], 긍정 텍스트 확률 : 59.05%"
"[하비 이지워커는 차양막도 길어요풀로 열면 양쪽 측면에 매쉬창이 있어서 공기 순환 시킬 수 있고 아기 모습도 확인 할 수 있어요다른 유모차 중에 상단에 매쉬창이 있는 경우가 있는데 그러면 햇빛이 아기한테 비칠 수 있대요옆면에 있는게 훨 나은거 같죠 ], 긍정 텍스트 확률 : 84.43%"
"[ 시트 앞보기 상태에서 앞바퀴 윗쪽에 저 레버를 당겨서 버튼을 누르면 초만에 폴딩 슉 ], 긍정 텍스트 확률 : 83.92%"
"[이게 제가 젤 바라던거예요 ㅋㅋㅋㅋㅋ시트 분리없이 폴딩 될 것양대면 상태에서도 폴딩은 되는데 시트 부분이 쏙 들어가지 못해서 높게 서더라구요 타시는 분들은 그대로 실을 수 있겠던데 우린 승용차라 아쉽 ㅠㅠㅠ ], 긍정 텍스트 확률 : 98.39%"
"[ 어댑터 장착 전왼쪽장착 후오른쪽장착 전에도 시트가 낮은 편이 아니였는데 어댑터 장착 후 사진을 보고 다시보니 엄청 낮아보여요 ㅋ의 위력........하이어댑터 장착하니 진짜 훨훨훨 이뻐요], 긍정 텍스트 확률 : 99.21%"
"[빵빵이는 아직 일이 채 안된 아기라서 신생아 패드 깔아줘야 하는데엉덩이패드를 시트 아랫 쪽에 받치고 유모차 라이너를 위에 덮어주면 거의 도로 눕혀져요또 하비 이지워커가 좋은게 저 안전바 보이시나요?? 양쪽 중 한쪽만 빼서 옆으로 돌려주면 빠지지않고 돌아가서 타고 내릴때 안전하고 편하겠죠 ], 긍정 텍스트 확률 : 59.88%"
"[빵빵이 태우기 전에 커버 싹 벗기고 신생아 패드와 함께 깨끗이 세탁해줬어요손빨래하면 좋겠지만 그리 부지런한 애미가 못 되서 울코스로 세탁망에 꽁꽁 싸매서 돌렸는데뒤틀어지는 것 없이 잘 세탁되었어요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 78.88%"
"[ 앞보기양대면 차이랍니다 ㅋㅋㅋ아직 빵빵이는 어려서 한동안은 양대면으로 끌고다닐 것 같아요유모차 타자마자 하품 늘어지게 하더니 방글방글 웃어서 외할미 뿌듯하게 만들었지요 ㅋㅋㅋ얼른 날씨 따뜻해져서 유모차끌고 나들이 가고싶네요 ], 긍정 텍스트 확률 : 62.18%"
"[ 우리아기 첫 유모차 하비 이지워커], 긍정 텍스트 확률 : 60.16%"
"[검색후 괜찮아보이는 잉글], 긍정 텍스트 확률 : 87.70%"
"[유모차박스 개봉하고조립하는데 분 걸렸다.유모차 보러갈때 하비라는 유모차는 알지 못했다.매장직원 추천으로하비 유모차를 보게됬는데매장에서 이것저것밀어본 유모차중에핸들링이 가장 부드러웠다.이정도 부드러운 핸들링이면출산후 너덜너덜해진내손목이 보호될것 같았다.ㅋㅋ ], 긍정 텍스트 확률 : 93.19%"
"[하비유모차가안정적이고 부드럽게 밀리는건요 뒷바퀴 때문인것 같다.사실 국민유모차로 불리는잉글유모차가이쁜디자인이나 가벼운무게접었을때 작은부피를 자랑하는폴딩력 때문에 끌리기는 했는데유모차를 밀어보니약간 흔들흔들한 기분이 들었다.어찌됬든 아기가타는 유모차인데안전성이 최우선인듯 해서고민고민하다 하비로결정.다시생각해도 잘한 결정인듯하다. ], 긍정 텍스트 확률 : 67.58%"
"[요정도로 햇볕가리게가펼쳐져서 햇빛을 충분히가릴수 있다.내가 선택한 색상은 럭셔리블랙인데전체가 올블랙이다.블랙이 세련된 느낌이나서좋기도 했지만햇빛가리개가 방수재질 인것이마음에 들어서 럭셔리블랙으로 결정했다.매장에서 보았던 회색유모차도이뻣지만가격 만원차이로 방수되는럭셔리 블랙이 더 나아보였음. ], 긍정 텍스트 확률 : 95.62%"
"[우리엄마가 사준 유모차임임신 개월 아지매는 살림 하나하나 모으기 시작 하비이지워커 유모차베이비페어 두번 가보고 나중에 유모차는 꼭 하비로 사야지 결정했었음매달 하비 홈페이지보면서 그달의 행사 사은품이 뭔지 확인하던중에 저저번달은 유모차컵홀더저번달에는 바퀴커버뭐 그런거 줬던것 같은데 이번달이 진짜 대박월안에 구매하면 하비 홈페이지 행사로 만원대 휴대용 유모차를 하나 더 줌 물론 직접 구매하고 후기를 쓰면 .....ㅋㅋ엄마도 유모차 비싸다고 하더니내 얘기 듣고는 맞네 지금 사야겠네 했음 그래서 아직 애도 태어나기 전에유모차부터 사러감 .엄마찬스로 유모차 구입 두시간전 마산 창동에 있는 베이비파크 갔다옴하비 유모차는 네덜란드브랜드인데마산 창원에는 여기만 유일하게 팜 바쁜 김여사는우리집에 박스를 내라주고 떠나고나는 조립], 긍정 텍스트 확률 : 56.26%"
"[조카들이 쓰는 국민유모차 리안도 괜찮지만어짜피 유모차는 둘째조카도 아직 타야하기에물려받기엔 무리고 무조건 우리도 구매를 했어야 하는 상황김과장과 내가 베이비페어갔다가첫눈에 반한 하비이지워커 럭셔리블랙 바디전체가 블랙임 핸들링 예술이다바퀴가 엄청 부드러움], 긍정 텍스트 확률 : 91.60%"
"[하비이지워커의 장점인난쟁이 아지매한테도 딱 좋은센치 어댑터추가다른 유모차보다 센치 높은편이라아기뎃고 식당 가도 아기의자 필요없음맘에 듬 ㅋㅋㅋㅋ빵실이 외할머니가 사줌 ——————————————————월 일구매한 날에 후기쓰고 일만에 휴대용유모차가 옴 ㅋㅋㅋㅋㅋㅋ대박이네 사은품도 총알배송 하비이지워커 고민하는 분들은 월안에 꼭 사이소 진짜 대박휴대용은 돌 지나고 쓸꺼지만그래도 돈 굳 완전 합리적인 쇼핑한 기분], 긍정 텍스트 확률 : 99.98%"
"[두개 같이 놔둬보니 하비이지워커가 얼마나 높이가 높은지 가늠이 됨 ㅋㅋ ], 긍정 텍스트 확률 : 78.63%"
"[내 돈 주고 산 리얼 후기 입니다.년 월 말이면 아들 아빠가 됩니다.우리 집은 와이프보다는 제가 이런 저런 구매에 관심이 많습니다.대부분의 살림템], 긍정 텍스트 확률 : 64.17%"
"[육아템도 다 내가 구매하고 알아보는 중네요.첫 육아템은 유모차가 되었습니다.엄마가 며느리 출산 기념으로 유모차카시트를 선물하기로 했고], 긍정 텍스트 확률 : 81.47%"
"[하비 이지워크 유모차 사진 및 사용전 감상 ], 긍정 텍스트 확률 : 59.29%"
