"[ 편리성은 포기해야 되는 단점이 있어요절충형은 디럭스와 휴대용의 중간단계로 양쪽 장점을 반영했고휴대용은 무게가 가벼워 외출할 때나 보관이 용이한 반면], 긍정 텍스트 확률 : 54.69%"
"[이 부분뿐만 아니라 가운데에 아이 확인 창이 있어서 수시로 아이를 확인할 수가 있어요. 확인 창으로도 사용할 수 있지만], 긍정 텍스트 확률 : 64.50%"
"[한 번도 후회한 적이 없었습니다. 오히려 유모차살 예정이신 분들 계시면 미마 자리 스포츠를 추천해 줘요. 개월까지 태울 수 있고유모차를 태우고 나갈 때면 자신감이 뿜뿜이여서 한창 산책을 매일 나갔었네요. 디자인도 너무 고급지고 핸들링도 너무 마음에 듭니다. 너무 잘 산 것 같아요ㅎㅎ절충형이나 디럭스 유모차 구매할 예정이신 분들은 미마 자리 스포르를 추천합니다 ], 긍정 텍스트 확률 : 97.84%"
"[벌써 훅훅 찌는 요즘에], 긍정 텍스트 확률 : 82.50%"
"[여름이 되면 얼마나 더울지 실감이 안나네요 안그래도 더위를 많이 타는 저로써는 아이도 이런 면을 닮을까봐 너무 걱정이 됩니다ㅠㅠ 심지어 피부가 연약해서 오래 햇빛을 쐬면 울긋불긋 뭔가 자꾸 나더라구요. 그래서 더더욱 자외선을 차단해줄 수 있으면서], 긍정 텍스트 확률 : 71.96%"
"[아이한테도 답답하지 않을 수 있는 유모차를 찾는 것이 저의 숙제였네요ㅎㅎ ], 긍정 텍스트 확률 : 92.84%"
"[ 그래서 오늘 소개해드릴 유모차가미마자리 스포츠유모차에요 많은 분들이 년도 신상이라 모르시고 계실 것 같아서 알려드리려구요ㅎㅎ 물론], 긍정 텍스트 확률 : 99.52%"
"[홈페이지 상으로는 굉장히 진해 보이지만], 긍정 텍스트 확률 : 86.26%"
"[실제로 야외에 나왔을 때에는 밝은 회색과 가까운 느낌이에요 그래서 오히려 더 비오는 날이라던가], 긍정 텍스트 확률 : 91.72%"
"[햇빛이 쨍쨍한 날이던가 다 잘어울리더라구요. ], 긍정 텍스트 확률 : 82.61%"
"[절충형으로 되어 있었는데], 긍정 텍스트 확률 : 85.89%"
"[뭐랄까 디럭스 단점을 보완하고자 실용성 높은 기능들을 더 추가했다고 보시면 될 것 같아요크기도 적당하고], 긍정 텍스트 확률 : 62.45%"
"[신생아 때부터 쭈욱 쓰기 좋은 유모차인 것 같습니다ㅎㅎ 개월까지 사용할 수 있다고 하니까], 긍정 텍스트 확률 : 89.62%"
"[힘있게 잘 밀렸던 기억이 나네요ㅋㅋ핸들링은 정말 꼭 한 번이라도 해보시라고 추천해드리고 싶네요 ], 긍정 텍스트 확률 : 97.98%"
"[정말 넓직하니], 긍정 텍스트 확률 : 63.93%"
"[아이가 장시간 유모차에 있어도 편안할 것 같았어요 물론 안전 벨트는 아이에 맞게 꼭 채워야 하지만 개월까지 쓸 수 있는 이유가 여기서 있는 것 같아요 실용성이 여기서 높아진 느낌이였어요ㅎㅎ 솔직히 아이가 그 때까지 타줄까 생각도 들긴 하지만], 긍정 텍스트 확률 : 91.78%"
"[아이한테 굉장히 편안한 유모차가 될 것 같았고], 긍정 텍스트 확률 : 52.80%"
"[그런 면에서 정말 실용적이다라고 생각이 들었네요ㅎㅎ ], 긍정 텍스트 확률 : 70.48%"
"[ 사진 상으로는 햇빛 차양막이 하지 않은 상태에요 중간에 저렇게 아이 확인창이 있어서], 긍정 텍스트 확률 : 55.42%"
"[아이가 잘 있는지], 긍정 텍스트 확률 : 72.36%"
"[무엇을 하고 있는지 수시로 확인이 가능합니당ㅎㅎ물론], 긍정 텍스트 확률 : 90.64%"
"[저는 아이한테 있어서 안좋기 때문에 양대면 전환을 하는 것을 선호하는 주의는 아닌지라.. 이 기능들이 너무 마음에 들었었어요.아이의 정서적인 측면에서양대면 전환 은 좋을 수는 있으나], 긍정 텍스트 확률 : 70.96%"
"[아이 달팽이관은 안좋아질 수 있다는 사실 아이 입장에서는 뒤로 가는 것이기 때문에], 긍정 텍스트 확률 : 79.19%"
"[ 이것은 캐리콧을 다 확장한 모습이에요 확장을 다했을 때에는 아이 안전바까지 다 가려지기 때문에], 긍정 텍스트 확률 : 70.06%"
"[정말 자외선은 완벽하게 차단해 줍니당ㅎㅎ알아봤더니 이 차양막이 매쉬 소재라서 더 여름에 사용하면 좋을 것 같더라구요. 공기 순환도 빨리 될 수 있고], 긍정 텍스트 확률 : 99.14%"
"[미마자리 스포츠 전용 방충망도 있어서], 긍정 텍스트 확률 : 56.18%"
"[어디 놀러 갔을 때에 사용하면 좋을 것 같아 보였어요ㅋㅋ ], 긍정 텍스트 확률 : 83.72%"
"[남편이 없이 저 혼자서도 할 수 있으니까], 긍정 텍스트 확률 : 52.19%"
"[아이에게 충격이 가지 않도록 흡수해준다고 하네요. 유모차에 있어서 이런 기능들은 필수인 것 같아요. 제가 끌고 다니기도 하지만], 긍정 텍스트 확률 : 62.61%"
"[정작 유모차를 타는 사람은 우리 아이들이니깐요중간에 톡 튀에 나온 부분은원터치 브레이크 에요 브레이크를 걸려면 한 번 밟으면 끝 ], 긍정 텍스트 확률 : 64.90%"
"[내리막길에서도 편한 각도로 움직일 수 있어서 너무 편했어요 정말 아이도 편안하고], 긍정 텍스트 확률 : 62.12%"
"[미마 스포츠로 할 정도로 다음에 들었습니다ㅎㅎ ], 긍정 텍스트 확률 : 64.42%"
"[부가부], 긍정 텍스트 확률 : 56.44%"
"[하이여 잇님들 출산전부터 고민했던 유모차 사실 다른 육아템들도 그렇지만 정말 닥치치않으면 몰라요 ㅋ 넘나 몰라요 어떤게 편할지 어떤게 필요하고 불필요할지 ㅋ 이리저리 지인들한테 물어보고 카페 들어가고.. 그마저도 귀찮고 ㅋㅋㅋㅋ 그래도 대략 정리 한번 해봤네요 꼼꼼히는 지난주에 넘나 바쁜관계로.... 못했어요 넘 기대는 마시고 대강 보셔요가장 먼저 유모차를 살때 고려되어야 할점은 뭐뭐가 있을까요? 최우선이 안전 그리고 엄마빠의 편의와 편리], 긍정 텍스트 확률 : 70.73%"
"[수납력정도 꼽을 수 있지않을까요? 저는 안전과 함께 아이와 엄마의 교감], 긍정 텍스트 확률 : 87.26%"
"[은 다른 유모차에 비해서 좀 더 일찍 아기들을 태울 수 있는 장점이 있는 좀 안정적인 유모차], 긍정 텍스트 확률 : 72.31%"
"[라고 할 수 있어요 대개는 아기를 유모차에 태우는 ], 긍정 텍스트 확률 : 61.14%"
"[지면의 충격을 덜 받고 상대적으로 바퀴도 크고 충격을 잘 흡수하느 시트를 특징으로 꼽을수있구요 ], 긍정 텍스트 확률 : 89.87%"
"[이런 스타일들이죠 ], 긍정 텍스트 확률 : 78.58%"
"[은 주로], 긍정 텍스트 확률 : 69.77%"
"[말그대로 절충형은 디럭스와 휴대형 중간쯤이라고 보시면 될 것 같은데요 ], 긍정 텍스트 확률 : 52.36%"
"[편의성과 편리성은 위 디럭스나 절충형에 비해 다소 떨어지지만 기동성이 굿 ], 긍정 텍스트 확률 : 56.31%"
"[아주 가벼운 휴대용은 키로대라고 하니 장난아니죠? ], 긍정 텍스트 확률 : 70.10%"
"[보통 대부분의 디럭스형의 유모차가 키로에 절충형은 그보다 좀 더 작게 나가려나요? ], 긍정 텍스트 확률 : 74.53%"
"[ 세 디럭스형보다는 가볍지만 휴대형보다는 편한것 ], 긍정 텍스트 확률 : 76.60%"
"[제기준이죠? ㅋ물론 고르시다보면 엄마빠 취향도 녹아듭니다 ㅋ 제가 고려했던 유모차 세가지 미마자리], 긍정 텍스트 확률 : 83.73%"
"[부가부], 긍정 텍스트 확률 : 56.44%"
"[그리고 무게.. 엄마 혼자 차에 싣기는 힘들수도 ], 긍정 텍스트 확률 : 81.49%"
"[무게부분은 거의 모든 디럭스형이 가벼워봐야 키로대에요 ㅋ어쨌든 무거움요 ], 긍정 텍스트 확률 : 87.84%"
"[또 가죽이다보니 깔끔하게 싹 빨수도 없거니와 변색이 되는 경우가 종종 있다네요 또하나 수납력 부족... 이거 진짜 중요하다고 지인이... 차로 이동해서 잠깐 내릴때는 모르는데... 우리 아가들 잠시 데리고 나가도 짐이 엄청 많잖아요 모르시는분들도 있으시겠지만 한짐이에요 기저귀], 긍정 텍스트 확률 : 86.00%"
"[여분의옷], 긍정 텍스트 확률 : 52.07%"
"[ 요즘 꽤 많이들 사용하시는 부가부 ], 긍정 텍스트 확률 : 69.94%"
"[ 다양한 모델이 있는데 제가 본건 폭스였나? 그랬던 것 같은데 ], 긍정 텍스트 확률 : 64.46%"
"[ 사진에 있는 모델은 폭스에요 ], 긍정 텍스트 확률 : 78.08%"
"[부가부도 핸들링이 좋았어요 저도 백화점 가서 보고 왔는데.. ], 긍정 텍스트 확률 : 89.98%"
"[이번에 새로 나온 제품.. 모델명 까먹었는데 어쨌든 그건 무게도 .키로 정도로 가벼운편이더라구요 ], 긍정 텍스트 확률 : 67.66%"
"[그리고 뭣보다 전 아이가 앉은 시트부분이 좀 더 엄마랑 가까웠으면 했는데... ], 긍정 텍스트 확률 : 72.97%"
"[그리고 열무찡은 눕는것보다 앉는것 좋아하는 아긴데.. ], 긍정 텍스트 확률 : 86.35%"
"[부가부는 추가로 또 시트를 사야하는 상황이였던걸로 기억해요 ], 긍정 텍스트 확률 : 89.18%"
"[신생아 시절에는 사실 외출할 일도 거의 없는데.. .. ], 긍정 텍스트 확률 : 56.56%"
"[시트컬러도 꽤 다양했어요 타브랜드에 비해서는요], 긍정 텍스트 확률 : 73.73%"
"[월말에 예약구입해서 월 초쯤에 받았구요 대략 주정도?초기에는 외출이 별로 없었고 열무찡 백일이전까진 집안에서 엄청 잘 탔어요 지금도 유모차에서 잘있는 열무찡 미리 꼭구입하셔서 실내에서 타는 연습하셔요 인터넷에 스토케 바퀴커버 구입하시면 실내실외 계속 사용가능하세요어쨌든 물티슈와 소독제로 싹싹 닦아서 .... 근데 바퀴커버가 앞바퀴는 씌워도 잘도는데 뒷바퀴는 커버 씌우면 좀 뻑뻑한 느낌들어요 ㅠㅠ 저 밥먹을때], 긍정 텍스트 확률 : 98.31%"
"[설거지할때 등등 ㅋ], 긍정 텍스트 확률 : 67.12%"
"[요 뒤에 달린 가방외에 또 가방 하나더 있구요 이거 생각보다 엄청 들어가요 ㅋㅋㅋ], 긍정 텍스트 확률 : 95.39%"
"[ 사랑이가 태어나기전에 성별이 나온날 구매해둔 첫붕붕이를 소개해요년에 구매했구요 사랑이 성별이 여아라 화이트랑 고민하다가 자녀계획을 알수없으므로 블랙으로 결정했어요그리고 지금 컬러에 대한 만족은 점이어요 사랑이는 위 사진처럼 캐리콧아기침대으로만 사용중이어요 생후 일이라 이제 슬슬 아래 체어 버젼으로 시도해보려고해요 ], 긍정 텍스트 확률 : 72.54%"
"[ 그리고 침대형인 상태는 너무 잘자서엄마가 외출해서 편안하게 볼일을 볼수있어요시간은 지금 일부터 역순으로 내려가봅니다요 지금 사랑이는 사이입니다], 긍정 텍스트 확률 : 92.77%"
"[ 어제는 윰차 모빌도 달아줬어요누워서도 잘놀아준답니다흔들흔들이건 다른날 사진인데넘 사랑스럽게 곤히 잘자고 있네요 ], 긍정 텍스트 확률 : 96.30%"
"[ 이제 발을 이렇게 닿아서 밀고 놀기도해요 ], 긍정 텍스트 확률 : 68.74%"
"[ 또 안에서 잘 놀기도 하구요 ], 긍정 텍스트 확률 : 50.13%"
"[ 또 다른날의 사랑이 모습이구요 ], 긍정 텍스트 확률 : 97.47%"
"[ 안에 쿨시트도 미마자리꺼에요몰에서 움직일때도 잘자고아래 수납도 두군데로 나뉘어져있어서전 보통 아기띠 넣어두고다른곳에는 보온통등을 넣게되는듯해요가방도 걸어두고요 ], 긍정 텍스트 확률 : 60.14%"
"[ 부산에 사랑이 일파티 할때도 가져갔더니유용하게 사용하더라구요시부모님과 백화점에서 한컷도 남겼어요 ], 긍정 텍스트 확률 : 92.32%"
"[ 저는 안전바를 한번 분실해서 그때도 여기서 구매했어요그리고 개월부터 체어형으로 사용권장하는데몸을 가누려는 힘이 들어가는 시기에 사용하면 좋을거 같아요전 사랑이가 개월 진입하면서허리힘이 급 생겨서 혼자 가끔 앉고 그래서사용했더니 거부없이 너무 좋아하더라구요 ], 긍정 텍스트 확률 : 65.06%"
"[ 체어형 탑승 첫날부터 잘자고 잘먹고 잘쉬는 모습이 고스란히 담겼네요이미 뽕뽑은 유모차 추천합니다요아 그리고특실에서 유모차 타고 이동시모습도 참고하라고 남겨드려요 ], 긍정 텍스트 확률 : 99.76%"
"[직접구매해서 충분한 사용후 작성한 리얼후기입니다 인스타 주소는 아래에 링크걸어두고 갑니다용...... ], 긍정 텍스트 확률 : 56.42%"
"[현장르포첫 베이비페어 이곳은 미베 베이비엑스포 현장입니다], 긍정 텍스트 확률 : 77.75%"
"[ 개인적으론 요람형일때가 훨씬 예쁘다], 긍정 텍스트 확률 : 74.24%"
"[하나하나 자세히 살펴보자 ], 긍정 텍스트 확률 : 65.69%"
"[ 바퀴엔 서스펜션이 있어 충격방지가 꽤나 잘 되는편], 긍정 텍스트 확률 : 76.90%"
"[베이비페어에서 실제로 직원이 보여줬던 서스펜션의 힘.성인 무게 이상을 견디고도 남더라.. 디럭스 유모차라면 기본 중에 기본이겠지? 이 유모차에도 마찬가지로 완벽한 서스펜션이 장착되어 있다 ], 긍정 텍스트 확률 : 98.39%"
"[ 브레이크도 기본 중에 기본원터치 브레이크가 뒷바퀴 중간에 붙어있어 언제든지 쉽게 브레이크를 잡을 수 있다 ], 긍정 텍스트 확률 : 54.42%"
"[ 손잡이는 키에 맞춰서 조절이 가능하다나는 김서방은이니 언제든지 높낮이 조절이 가능하고 우리 키에 비해 시트 자체가 낮은게 아니라아이와 눈맞춤 하기 좋다 ], 긍정 텍스트 확률 : 90.63%"
"[ 악세서리 가격은 꽤나 사악한 편], 긍정 텍스트 확률 : 53.86%"
"[ 파라솔은 사실 야외에서 많이 탈일이 없을 것 같아 안샀다홈페이지에 정품 등록을 하면 악세서리를 할인받아 구입 가능하다 ], 긍정 텍스트 확률 : 73.89%"
"[시트 무게만 해도 꽤 되어서 훨씬 가벼워 진다 ], 긍정 텍스트 확률 : 70.08%"
"[시트 아래부분의 지퍼를 열어서 간단히 가죽 시트를 벗겨낼 수 있다], 긍정 텍스트 확률 : 55.28%"
"[장점디럭스 유모차들의 특징 신생아 흔들림이 덜하다], 긍정 텍스트 확률 : 50.31%"
"[ 예쁘다 ], 긍정 텍스트 확률 : 88.10%"
"[발받침대가 짧아서 사용기간이 짧다 ], 긍정 텍스트 확률 : 76.05%"
"[ 첫 차 아부지가 좋은 걸로 뽑아줬으니 예쁘게 잘 타자 벨라시타 이외의 다른 곳에 저걸 끌고 나갈 수 있을지 의문.. ], 긍정 텍스트 확률 : 91.47%"
"[ 부가부유모차], 긍정 텍스트 확률 : 56.44%"
"[ 오르빗유모차 정도 였던것 같아요.절충형 유모차를 잠깐 생각했었지만 그래도 디럭스유모차가 가장 안전하다고 해서 절충형 유모차는 조금더 큰다음에 사주기로 했었네요.디럭스 유모차중 이것저것 비교한 결과 마지막에 남은 디럭스 유모차는미마자리 유모차와], 긍정 텍스트 확률 : 98.38%"
"[ 저에겐 유모차 브랜드중 미마자리 유모차가 순위 예요 미마자리 유모차 가격 때문에 베이비페어], 긍정 텍스트 확률 : 71.49%"
"[ 인터넷다 비교해서 그중 제일 저렴한곳에서 구입했어요.베이비페어가 가격이 제일 저렴할줄로만 알았는데꼭 베이비 페어가 저렴하진 않더라구요.저도 베페가서 구입하려고 했는데 베페보다 멀티샵이 더 저렴해서 멀티샵에서 구입했답니다.육아는 장비빨이란 말이 왜 생겨난지도 이해가 조금은 되더라구요 ㅎㅎㅎ제가 선택한 미마자리 유모차 색상은 화이트 인데요 미마자리 화이트가 때가 마니 탈것같아서 고민고민 했는데남편이 저한텐 미마자리 화이트가 더 잘어울릴것 같다고 해서 주저없이 화이트로 겟겟 했었찌요일년이 지난 지금 미마자리 유모차를 보면 때가 거의 안탔어요물론 미세먼지 많은날은 안돌아 다녔구요], 긍정 텍스트 확률 : 70.77%"
"[역시 명품유모차 미미자리 ㅎㅎㅎ ], 긍정 텍스트 확률 : 94.62%"
"[미마 화이트와 어울리는 지브라 바퀴커버], 긍정 텍스트 확률 : 51.94%"
"[행여나 내새끼 그냥 앉히면 등이라도 배길까바 유모차 라이너유모차 시트도 사서 끼우고 ㅎㅎㅎㅎ유모차라이너는 양쪽다 쓸수 있어서 한쪽은 봄], 긍정 텍스트 확률 : 63.38%"
"[년동안 아인이 첫 빠방 노릇 제대로 한 미마자리 유모차 랍니다미마자리 유모차 사용법 또한 너무 쉽고요미마자리는 총 단계로 각도 조절이 되는데 처음해보는거였는데도 너무 쉽더라구요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 61.54%"
"[안타려고 하는 아가들도 많다고 하는데아인이는 편안한지 너무나 잘 타더라구요.디럭스 유모차인 미마자리 유모차는 적극 추천하네요이제 알아봐야 될껀 절충형 유모차 인데 절충형 유모차 순위 중에는베이비젠베이비젠 요요절충형 유모차], 긍정 텍스트 확률 : 95.38%"
"[ 페도라 절충형유모차등이 유명한것 같더라구요.그중에 베이비젠 요요 절충형 유모차는 베이비젠 요야 까지 나올정도로 꽤 유명한 절충형 유모차 인것 같아요.절충형유모차순위중 위는 베이비젠 요요베이비젠같은데 저도 왠지 베이비젠 요요가 끌리네요꽃피는 봄이 오기전까지 얼른 절충형 유모차를 구입해야 겠어요 ], 긍정 텍스트 확률 : 94.23%"
"[ 미마자리 유모차 솔직구매후기에요 ], 긍정 텍스트 확률 : 59.99%"
"[정말 정말 묵은지 포스팅이에요ㅎㅎ년이상 사용해본 후기 들려드릴게요 ], 긍정 텍스트 확률 : 96.94%"
"[현재 현관에 전시중인 미마자리 유모차에요ㅋㅋ아들이 훌쩍 커서 방치만 하고있네요ㅎ ], 긍정 텍스트 확률 : 97.97%"
"[사진의 시트 각도는 총가지 각도중 중간이에요 ], 긍정 텍스트 확률 : 75.47%"
"[아이가 앉으면 이정도 각도구요저는 중간과 도 눕힌 각도를가장많이 사용했어요 ], 긍정 텍스트 확률 : 56.61%"
"[가장 궁금해하시는 부분중 하나인유모차 바구니부분이에요미마자리유모차는 수납이 많이 않된다고다들 그러시더라구요저는 구매할때 수납부분을 크게신경쓰지않고 구매했어요그리고 두군데로 나눠져 있어서전체 수납양은 적지 않은데큰 가방을 탁탁 넣진 못하죠ㅎㅎ ], 긍정 텍스트 확률 : 52.39%"
"[요게 앞부분 수납공간이에요ㅎ엄마의 스타일에 따라수납공간은 적게 느낄수도불편함 없이 사용할 수도 있을거 같아요 ], 긍정 텍스트 확률 : 99.02%"
"[요게 각도를 가장 세웠을 때에요생각보다 아이가 많이?일자로 앉아있게 되요ㅎㅎ ], 긍정 텍스트 확률 : 97.69%"
"[울 아들은 요 각도로 해주면 내릴려고 하더라구요ㅎㅎ ], 긍정 텍스트 확률 : 97.84%"
"[요렇게 완전히 눕히는 각도를 많이 사용했어요ㅎㅎ ], 긍정 텍스트 확률 : 52.30%"
"[잘때 요렇게 눕혀주면 정말 편안해 보이더라구요 ㅎㅎ후기가 너무 뒤죽박죽이네요ㅋㅋ돌까진 정말 잘사용했어요폴딩도 한번에 가능하니정말 편하구요대신 시트 분리하지않고한번에 폴딩시엔신랑만 트렁크에 넣고 뺄수 있어요ㅎㅎ디럭스라 무겁더라구요ㅜ담번엔 미마자리 윈터키트후기 들고올게용 ], 긍정 텍스트 확률 : 69.26%"
"[토리의 첫 유모차로 가장 먼저 구매한실버크로스 서프 헨리엄마가 작성하는 솔직 후기입니다. ··자체소비후기 ], 긍정 텍스트 확률 : 72.05%"
"[싸이벡스 프리암을 구매하기 조금 전에 가장 먼저 아빠랑 같이 사용 할 메인 디럭스유모차로 사 두었던 실버크로스 서프 헨리], 긍정 텍스트 확률 : 64.97%"
"[실물까지 모두 본 결과적으로는], 긍정 텍스트 확률 : 85.39%"
"[타 브랜드들과는 달리 하나하나 구매하지 않아도 이렇게나 많다. 즉 번거롭지 않다는 것 구매 한 번으로도 이렇게 풀 구성을 받을 수 있다. 물론], 긍정 텍스트 확률 : 87.89%"
"[간단하게 사진으로 보는 조립 순서 한글 설명서가 첨부 되어 있으니 잘 찾아보시고 조립해보세요. 간단하게 사진으로 올려보아요. ], 긍정 텍스트 확률 : 98.67%"
"[포장과 관련된 부분을 다 제거 하고 앞], 긍정 텍스트 확률 : 72.15%"
"[뒤 바퀴 모두 유모차 프레임 홀에 딸깍 소리 날 때 까지 끼워 주면 된다. ], 긍정 텍스트 확률 : 80.38%"
"[소리가 나면 완벽히 끼워 진 것 ], 긍정 텍스트 확률 : 77.70%"
"[ 차양막 설치 후 손으로 잡고 있는 중앙에 보이는 연결바에 반드시 딸깍 소리가 날 때 까지 끼워 주면 끝], 긍정 텍스트 확률 : 82.41%"
"[앞보기 뒤보기 둘 다 가능 ], 긍정 텍스트 확률 : 75.21%"
"[ 위에 남은 홀에 안전바를 끼워주면 됨 ], 긍정 텍스트 확률 : 59.80%"
"[ 풋 커버풋 머프장착하기우리 토리는 겨울 아가니까 따뜻하게 풋 커버 까지 장착 ], 긍정 텍스트 확률 : 90.65%"
"[우측은 안전바 위에까지 덮은 모습 이제 기본 적인 조립은 모두 완성이 되었다.이제 각자 가지고 있는 액세서리를 달아주면 끝이다. 간단하다. ], 긍정 텍스트 확률 : 92.07%"
"[ 분리 되어 있는 상태보기 창 및 통풍 창 ], 긍정 텍스트 확률 : 76.46%"
"[ 하차 가능 바퀴 자동차베어링 및 프레임 서스펜션으로 뛰어난 충격 완화 ], 긍정 텍스트 확률 : 84.55%"
"[ 중 고무자동차 베어링 타이어 ], 긍정 텍스트 확률 : 58.53%"
"[ 공기주입식이 아닌 중식 천연 고무 타이어로 펑크가 나지않고 충격을 완화시켜 준다고 한다. ], 긍정 텍스트 확률 : 52.43%"
"[예민한 핸들 조작이 필요한 곳에서도 한 손으로 주행이 가능했다. 무게는 무거우나 핸들링은 정말 밀어 본 것 중 단연 으뜸 이었다고 확실하게 말 할 수 있다. 정말 그대로], 긍정 텍스트 확률 : 99.26%"
"[ 그 밖의 기능에는 언제든 앞], 긍정 텍스트 확률 : 79.75%"
"[실버크로스 헨리 만의 스페셜한 차이점 ], 긍정 텍스트 확률 : 56.98%"
"[영국 데번주 버크페스텔리지에서 생산된 최고급 양털 보조시트로 세계에서 가장 솜씨좋은 장인에 의해 제작되었습니다], 긍정 텍스트 확률 : 83.92%"
"[고급스러운 헤링본 무늬와], 긍정 텍스트 확률 : 62.66%"
"[ 고급스러운 합금 마그네슘으로 마감되어 있습니다 . ], 긍정 텍스트 확률 : 84.51%"
"[ 액세서리 모두 부착하여 완성된 서프헨리 사용한 액세서리컵홀더], 긍정 텍스트 확률 : 83.68%"
"[마마백 등을 모두 부착하여 완성해본 서프헨리의 전체적인 모습이다. 고급스러움 뚝뚝.아빠랑 함께 외출할 때 아빠가 끌면 더더욱 몇 배로 멋있을 것 같은 실버크로스 서프 헨리내 눈엔 디자인 만큼은 심플하진 않지만 헨리의 우아함고급스러움을 따라갈 유모차가 없을 듯 이제 토리 태우고 밖에서 사진 찍을일만 남았다.끝으로 실버크로스 유모차 폴딩영상을 첨부하며..], 긍정 텍스트 확률 : 88.22%"
"[ 우리 토리 메인 디럭스 유모차 후기 끝 ], 긍정 텍스트 확률 : 59.18%"
"[토리야 어서 만나자. ♥ ], 긍정 텍스트 확률 : 99.63%"
"[미마자리 살까말까 너무너무 고민을 많이했지만안사고 후회하기보다는 사고 후회하자라는 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ일단 결론은 후회없음 . ], 긍정 텍스트 확률 : 68.38%"
"[오르빗미마자리와 스토케는 키 큰 여자들이 쓰기에좋다는 이야기를 듣고 더 마음에 들었다시트가 높히 있어서 아이컨택하기가 더 좋다다른것과 비교하면 확실히 가까이에 아기가 누워있다 스토케와 오르빗도 너무 좋은 제품이지만너무 큼직해서 끌고다니기에 제약이 있을것 같았다. 카페나 밥집가서 민폐줄것 같은], 긍정 텍스트 확률 : 67.32%"
"[디럭스는 잘 안쓰게 된다는 사람들도 많지만나는 너무너무 유용하게 잘쓰고있다이젠 어디갈때 미마가 없으면 불안불안 ㅠㅠ ], 긍정 텍스트 확률 : 81.10%"
"[우리아가], 긍정 텍스트 확률 : 70.32%"
"[벌써 편한자세를 알고말았다 ], 긍정 텍스트 확률 : 50.17%"
"[아기의 유모차로 미마자리 유모차 디럭스용 카멜색을 구입했는데요 오늘은 유모차 조립 설치 방법에 대한 리뷰에요], 긍정 텍스트 확률 : 77.45%"
"[ 이 표기되어 있어요 ], 긍정 텍스트 확률 : 82.13%"
"[유모차 핸들바 부분까지 지퍼를 잠가주면몸체가 완성이 됩니다 ], 긍정 텍스트 확률 : 56.56%"
"[미마자리 유모차는 신생아를 위한아기침대도 내장되어 있어 신생아부터 유아기까지 사용할 수 있는데요우리 아기는 신생아라 아기침대형으로 조립했어요시트를 지퍼를 열어 분리해주고 ], 긍정 텍스트 확률 : 82.70%"
"[아기침대의 모양을 잡아준 후 ], 긍정 텍스트 확률 : 64.67%"
"[그대로 유모차 몸체에 아기침대를 들어서 꽂아만 주면완성], 긍정 텍스트 확률 : 74.66%"
"[ 완제품으로 폴딩된채 와서 따로 조립할 필요도 없었어요ㅎㅎ그럼 지금부터 자세한 구입후기 나갑니당 ], 긍정 텍스트 확률 : 83.03%"
"[ 풀차양막 내린 미마지기 모습이에요거의 끝까지 차양막이 내려와서 좋은것 같아요ㅎㅎ미마지기랑 끝까지 고민했던 리안 프라임라이트에서 마음에 안들었던 한가지가 차양막 길이가 짧다는거였거든요ㅜㅜ휴대용은 아무래도 차양막 길이가 신경쓰이네요?ㅎㅎㅎ ], 긍정 텍스트 확률 : 94.48%"
"[ 장바구니는 은근 크기가 커서 꽤 보관이 가능할것 같아요무엇보다 짐을 많이 담아도 늘어짐없는 튼튼한 소재가 마음에 들더라구요 ], 긍정 텍스트 확률 : 51.64%"
"[ 각도조절은 레버로 가능해서 매우 편리제가 알기론 총 단계 각도조절이 가능하다고 알고있음ㅎㅎ ], 긍정 텍스트 확률 : 72.20%"
"[ 옆면엔 이렇게 미마로고와 유모차 네임이 쓰여있는걸 볼 수 있어요 ], 긍정 텍스트 확률 : 54.50%"
"[ 앞면에 있는 발판에도 고급지게 박혀있네요ㅎㅎ아쉽지만 발판 각도조절은 되지 않는다는거ㅜㅜ ], 긍정 텍스트 확률 : 77.05%"
"[ 핸들높이는 중간에 빼꼼 튀어나와있는 버튼을 누르면 아주 쉽게 변경가능해요ㅎㅎ덕분에 키가 작은 저와 키가 큰 신랑이 같이 사용해도 문제없음 ], 긍정 텍스트 확률 : 71.88%"
"[ 유모차 시트부분은 이렇게 생겼어요ㅎㅎ사진은 시트 각도를 최대한 세운 상태완전히 직각은 아니지만 충분히 아이가 편하게 탈 수 있는 각도같아요 ], 긍정 텍스트 확률 : 78.94%"
"[ 요즘 가장 많이 쓰이는 점식벨트로 성인인 제가 힘을 줘서 꾹 눌러야 풀 수 있기 때문에 아이가 눌러도 풀릴 염려는 없을듯 ], 긍정 텍스트 확률 : 75.03%"
"[ 폴딩은 시트 엉덩이 부분에 보이는 고리를 쭉 땡기면서 고리 옆에 있는 손잡이를 들면 한번에 되는 매우 쉽고 단순한 구조에요휴대용 유모차는 폴딩이 간편해야 좋죠?ㅎㅎ다시 펼때는 그냥 유모차 손잡이만 들어주면 힘을 주지 않아도 잘 펴져서 최고최고], 긍정 텍스트 확률 : 99.57%"
